target_id,actions,old_projection_json,new_projection_json,old_adjudication_json,new_adjudication_json,canonical_text_sha256
PASSION24.HOUR.24.DESOL.P033,ADD_ADJUDICATION:PERSONIFIED_VOICE:1-163 | CLOSE_DELIMITER@163:MARY | FULL_RECORD_PRESENTATION:MARY:0-164 | LEXICAL_GAP@100:MARY | LEXICAL_GAP@102:MARY | LEXICAL_GAP@103:MARY | LEXICAL_GAP@104:MARY | LEXICAL_GAP@105:MARY | LEXICAL_GAP@106:MARY | LEXICAL_GAP@107:MARY | LEXICAL_GAP@109:MARY | LEXICAL_GAP@10:MARY | LEXICAL_GAP@110:MARY | LEXICAL_GAP@112:MARY | LEXICAL_GAP@113:MARY | LEXICAL_GAP@114:MARY | LEXICAL_GAP@116:MARY | LEXICAL_GAP@117:MARY | LEXICAL_GAP@118:MARY | LEXICAL_GAP@119:MARY | LEXICAL_GAP@11:MARY | LEXICAL_GAP@120:MARY | LEXICAL_GAP@121:MARY | LEXICAL_GAP@123:MARY | LEXICAL_GAP@124:MARY | LEXICAL_GAP@126:MARY | LEXICAL_GAP@127:MARY | LEXICAL_GAP@128:MARY | LEXICAL_GAP@129:MARY | LEXICAL_GAP@12:MARY | LEXICAL_GAP@130:MARY | LEXICAL_GAP@131:MARY | LEXICAL_GAP@132:MARY | LEXICAL_GAP@134:MARY | LEXICAL_GAP@135:MARY | LEXICAL_GAP@137:MARY | LEXICAL_GAP@138:MARY | LEXICAL_GAP@13:MARY | LEXICAL_GAP@140:MARY | LEXICAL_GAP@141:MARY | LEXICAL_GAP@142:MARY | LEXICAL_GAP@143:MARY | LEXICAL_GAP@144:MARY | LEXICAL_GAP@145:MARY | LEXICAL_GAP@146:MARY | LEXICAL_GAP@147:MARY | LEXICAL_GAP@148:MARY | LEXICAL_GAP@149:MARY | LEXICAL_GAP@14:MARY | LEXICAL_GAP@151:MARY | LEXICAL_GAP@152:MARY | LEXICAL_GAP@154:MARY | LEXICAL_GAP@155:MARY | LEXICAL_GAP@156:MARY | LEXICAL_GAP@157:MARY | LEXICAL_GAP@158:MARY | LEXICAL_GAP@159:MARY | LEXICAL_GAP@15:MARY | LEXICAL_GAP@160:MARY | LEXICAL_GAP@16:MARY | LEXICAL_GAP@17:MARY | LEXICAL_GAP@19:MARY | LEXICAL_GAP@1:MARY | LEXICAL_GAP@20:MARY | LEXICAL_GAP@21:MARY | LEXICAL_GAP@22:MARY | LEXICAL_GAP@26:MARY | LEXICAL_GAP@27:MARY | LEXICAL_GAP@29:MARY | LEXICAL_GAP@2:MARY | LEXICAL_GAP@31:MARY | LEXICAL_GAP@32:MARY | LEXICAL_GAP@33:MARY | LEXICAL_GAP@34:MARY | LEXICAL_GAP@35:MARY | LEXICAL_GAP@36:MARY | LEXICAL_GAP@37:MARY | LEXICAL_GAP@38:MARY | LEXICAL_GAP@39:MARY | LEXICAL_GAP@41:MARY | LEXICAL_GAP@42:MARY | LEXICAL_GAP@43:MARY | LEXICAL_GAP@44:MARY | LEXICAL_GAP@46:MARY | LEXICAL_GAP@47:MARY | LEXICAL_GAP@48:MARY | LEXICAL_GAP@4:MARY | LEXICAL_GAP@50:MARY | LEXICAL_GAP@51:MARY | LEXICAL_GAP@52:MARY | LEXICAL_GAP@53:MARY | LEXICAL_GAP@55:MARY | LEXICAL_GAP@56:MARY | LEXICAL_GAP@57:MARY | LEXICAL_GAP@58:MARY | LEXICAL_GAP@59:MARY | LEXICAL_GAP@5:MARY | LEXICAL_GAP@60:MARY | LEXICAL_GAP@63:MARY | LEXICAL_GAP@64:MARY | LEXICAL_GAP@66:MARY | LEXICAL_GAP@67:MARY | LEXICAL_GAP@68:MARY | LEXICAL_GAP@69:MARY | LEXICAL_GAP@70:MARY | LEXICAL_GAP@71:MARY | LEXICAL_GAP@72:MARY | LEXICAL_GAP@74:MARY | LEXICAL_GAP@75:MARY | LEXICAL_GAP@77:MARY | LEXICAL_GAP@78:MARY | LEXICAL_GAP@7:MARY | LEXICAL_GAP@80:MARY | LEXICAL_GAP@81:MARY | LEXICAL_GAP@82:MARY | LEXICAL_GAP@83:MARY | LEXICAL_GAP@84:MARY | LEXICAL_GAP@85:MARY | LEXICAL_GAP@87:MARY | LEXICAL_GAP@88:MARY | LEXICAL_GAP@89:MARY | LEXICAL_GAP@90:MARY | LEXICAL_GAP@91:MARY | LEXICAL_GAP@92:MARY | LEXICAL_GAP@93:MARY | LEXICAL_GAP@94:MARY | LEXICAL_GAP@95:MARY | LEXICAL_GAP@98:MARY | LEXICAL_GAP@99:MARY | LEXICAL_GAP@9:MARY | OPEN_DELIMITER@0:MARY,"{""runs"":[],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":164,""speaker"":""MARY""}],""hidden"":[],""breaks"":[]}",null,"[{""start"":1,""end"":163,""semantic_speaker"":""PERSONIFIED_VOICE"",""presentation_speaker"":""MARY"",""quotation_depth"":2,""reason"":""v101.119 quoted-span closure: P032 says the remembered arrows \""me disent\"" and P033 is their quoted voice inside the continuing MARY turn; semantic voice remains distinct while MARY governs display.""}]",b1af0f149ebbc41ba248de32bb013574292cd9e152ba9bdf9cec026937e8a08b
PASSION24.SECTION.BENEFITS.P138,OPEN_DELIMITER@105:JESUS,"{""runs"":[{""start"":0,""end"":104,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":106,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,7534c1889b09a3738cb1573346e48e7e08d7a170e0a19124235ccbb9fae9c865
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P049,OPEN_DELIMITER@37:JESUS,"{""runs"":[{""start"":0,""end"":36,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":38,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,08852170252e43c58d462657c97f76e8fa43fd3a33ac02e3e95e2a54aea70490
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P051,CLOSE_DELIMITER@115:JESUS,"{""runs"":[{""start"":0,""end"":115,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":116,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,191855f6d1b540caac2be4cab0759841feea46e4397faa14f673b1a87cfcae7b
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P133,OPEN_DELIMITER@105:JESUS,"{""runs"":[{""start"":0,""end"":104,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":106,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,7534c1889b09a3738cb1573346e48e7e08d7a170e0a19124235ccbb9fae9c865
PASSION24.TEXT.RELATED_HOUR_01.BODY.P034,CLOSE_DELIMITER@234:JESUS,"{""runs"":[{""start"":0,""end"":234,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":235,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,6898a2e081240e093ceae559c4354af8a623719970c86d28c14a2331a4cb0841
PASSION24.TEXT.RELATED_HOUR_01.BODY.P041,OPEN_DELIMITER@182:JESUS,"{""runs"":[{""start"":0,""end"":181,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":183,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,6269c3665fd19a8b85a40f460204395103bc085fa8ae4e195dfb907dff1cf189
PASSION24.TEXT.RELATED_HOUR_01.BODY.P047,CLOSE_DELIMITER@316:JESUS,"{""runs"":[{""start"":0,""end"":316,""speaker"":""JESUS""}],""hidden"":[{""start"":317,""end"":318,""role"":""OUTER_DIVINE_CLOSE_WRAPPER_HIDE"",""reason"":""OUTER_DIVINE_CROSS_RECORD""}],""breaks"":[317]}","{""runs"":[{""start"":0,""end"":317,""speaker"":""JESUS""}],""hidden"":[{""start"":317,""end"":318,""role"":""OUTER_DIVINE_CLOSE_WRAPPER_HIDE"",""reason"":""OUTER_DIVINE_CROSS_RECORD""}],""breaks"":[317]}",null,null,07637a43ae3504ce9f3b84b5787946729fd33f34d85ca691a31534576e681c6e
PASSION24.TEXT.RELATED_HOUR_05.BODY.P008,CLOSE_DELIMITER@667:JESUS,"{""runs"":[{""start"":0,""end"":667,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":668,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,cfdb20e7c5e3ef1b252bb4209042d9e5a0e493c396dea035c7c6bf09f1eec715
PASSION24.TEXT.RELATED_HOUR_06.BODY.P025,OPEN_DELIMITER@74:JESUS,"{""runs"":[{""start"":0,""end"":73,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}","{""runs"":[{""start"":0,""end"":75,""speaker"":""JESUS""}],""hidden"":[],""breaks"":[]}",null,null,78f84f230693f71bbf7801aa4c9f317e5b3a448ffa42a980fbe275648733d404
