span_id,container,quote_family,quotation_depth,open_target,open_offset,close_target,close_offset,cross_record,semantic_speaker,presentation_parent,opener_hidden,closer_hidden,opener_presentation,first_lexical_target,first_lexical_offset,first_lexical_presentation,last_lexical_target,last_lexical_offset,last_lexical_presentation,closer_presentation,expected_class,actual_class,source_basis,status,defects,snippet
A-Q00193,HOUR_24_SUB_0,curly_double,2,PASSION24.HOUR.24.DESOL.P033,0,PASSION24.HOUR.24.DESOL.P033,163,False,PERSONIFIED_VOICE,MARY,False,False,OUTSIDE,PASSION24.HOUR.24.DESOL.P033,1,OUTSIDE,PASSION24.HOUR.24.DESOL.P033,160,OUTSIDE,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_MARY,OUTSIDE|OUTSIDE|OUTSIDE|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.HOUR.24.DESOL.P032@358; TEXTUAL_ATTRIBUTION_P032_FLÈCHES_ME_DISENT,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;LEXICAL_CONTENT_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,"“Tu ne L’entendras plus ! Tu n’entendras plus son doux Accent, la mélodie de sa Parole créatrice, qui créait en toi autant de paradis qu’Il prononçait de Paroles !”"
A-Q00225,SECTION_PASSION24.SECTION.BENEFITS,straight_double,2,PASSION24.SECTION.BENEFITS.P138,105,PASSION24.SECTION.BENEFITS.P139,76,True,GENERIC_SOUL,JESUS,False,False,OUTSIDE,PASSION24.SECTION.BENEFITS.P139,0,JESUS,PASSION24.SECTION.BENEFITS.P139,74,JESUS,JESUS,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|JESUS,IMMEDIATE_LEFT_DIVINE:PASSION24.SECTION.BENEFITS.P138@103; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED,""" … Me voici, je veux réparer pour tous, implorer pour tous et répondre de tous."""
A-Q00242,PASSION24.TEXT.PART_III_DIVINE_PASSION,straight_double,2,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P049,37,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P051,115,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P050,0,JESUS,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P051,113,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P049@35; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Si Tu veux que Je subisse une mort pour chacune, Je le ferai. J'accepte tout, pourvu que Tu donnes la vie à toutes."""
A-Q00281,PASSION24.TEXT.RELATED_HOUR_01,straight_double,2,PASSION24.TEXT.RELATED_HOUR_01.BODY.P034,72,PASSION24.TEXT.RELATED_HOUR_01.BODY.P034,234,False,JESUS,JESUS,False,False,JESUS,PASSION24.TEXT.RELATED_HOUR_01.BODY.P034,73,JESUS,PASSION24.TEXT.RELATED_HOUR_01.BODY.P034,231,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,JESUS|JESUS|JESUS|OUTSIDE,OPENER_ALREADY_DIVINE; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,CLOSE_DELIMITER_NOT_PARENT_PRESENTED,"""Je vous bénis au nom du Père, de Moi-même et du Saint-Esprit. Je vous bénis pour vous aider, vous défendre, vous pardonner, vous consoler et vous rendre saints !"""
A-Q00283,PASSION24.TEXT.RELATED_HOUR_01,straight_double,2,PASSION24.TEXT.RELATED_HOUR_01.BODY.P041,182,PASSION24.TEXT.RELATED_HOUR_01.BODY.P047,316,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_01.BODY.P042,0,JESUS,PASSION24.TEXT.RELATED_HOUR_01.BODY.P047,314,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_01.BODY.P041@180; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Au lieu de Me bénir en retour, elles M'offensent et Me maudissent. Pour cette raison, Ma fille, entre dans Ma Volonté et prends ton essor sur les ailes de toutes les choses créées, scelle les toutes des bénédictions que toutes les créatures Me doivent, et apporte toutes ces bénédictions à Mon Cœur tendre et blessé."""
A-Q00306,PASSION24.TEXT.RELATED_HOUR_05,straight_double,2,PASSION24.TEXT.RELATED_HOUR_05.BODY.P008,555,PASSION24.TEXT.RELATED_HOUR_05.BODY.P008,667,False,JESUS,JESUS,False,False,JESUS,PASSION24.TEXT.RELATED_HOUR_05.BODY.P008,556,JESUS,PASSION24.TEXT.RELATED_HOUR_05.BODY.P008,665,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,JESUS|JESUS|JESUS|OUTSIDE,OPENER_ALREADY_DIVINE; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,CLOSE_DELIMITER_NOT_PARENT_PRESENTED,"""Père, si c'est possible, retire de Moi ce calice. Cependant, que soit faite non pas Ma Volonté, mais la Tienne."""
A-Q00314,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P025,74,PASSION24.TEXT.RELATED_HOUR_06.BODY.P026,50,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P026,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P026,47,JESUS,JESUS,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|JESUS,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P025@72; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED,""" … Si c'est possible que ce calice s'éloigne de moi !"""
A-Q00315,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P028,187,PASSION24.TEXT.RELATED_HOUR_06.BODY.P029,55,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P029,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P029,52,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P028@185; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Si c'est possible, laisse ce calice s'éloigner de moi !"""
A-Q00319,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P037,90,PASSION24.TEXT.RELATED_HOUR_06.BODY.P038,58,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P038,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P038,57,JESUS,JESUS,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|JESUS,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P037@88; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED,""" … Père, s'il est possible, que cette coupe passe loin de Moi"""
A-Q00320,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P039,165,PASSION24.TEXT.RELATED_HOUR_06.BODY.P039,225,False,JESUS,JESUS,False,False,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P039,166,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P039,223,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,JESUS|JESUS|JESUS|OUTSIDE,OPENER_ALREADY_DIVINE; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,CLOSE_DELIMITER_NOT_PARENT_PRESENTED,"""Père, s'il est possible, que cette coupe passe loin de Moi."""
A-Q00321,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P042,50,PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,48,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,47,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P042@48; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Que non pas Ma Volonté mais la Tienne soit faite"""
A-Q00322,PASSION24.TEXT.RELATED_HOUR_06,straight_double,2,PASSION24.TEXT.RELATED_HOUR_06.BODY.P045,48,PASSION24.TEXT.RELATED_HOUR_06.BODY.P046,136,True,JESUS,JESUS,False,False,OUTSIDE,PASSION24.TEXT.RELATED_HOUR_06.BODY.P046,0,JESUS,PASSION24.TEXT.RELATED_HOUR_06.BODY.P046,134,JESUS,OUTSIDE,MEANINGFUL_NESTED_QUOTE_INHERITS_JESUS,OUTSIDE|JESUS|JESUS|OUTSIDE,IMMEDIATE_LEFT_DIVINE:PASSION24.TEXT.RELATED_HOUR_06.BODY.P045@46; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,FAIL,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED,""" … Que la volonté humaine ne se fasse plus sur la terre, mais la Volonté Divine. Que la volonté humaine soit bannie et que la Tienne règne."""
