key,quote_family,open_target,open_offset,close_target,close_offset,presentation_parent,defects
curly_double|PASSION24.HOUR.24.DESOL.P033|0|PASSION24.HOUR.24.DESOL.P033|163|MARY,curly_double,PASSION24.HOUR.24.DESOL.P033,0,PASSION24.HOUR.24.DESOL.P033,163,MARY,OPEN_DELIMITER_NOT_PARENT_PRESENTED;LEXICAL_CONTENT_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.SECTION.BENEFITS.P138|105|PASSION24.SECTION.BENEFITS.P139|76|JESUS,straight_double,PASSION24.SECTION.BENEFITS.P138,105,PASSION24.SECTION.BENEFITS.P139,76,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P049|37|PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P051|115|JESUS,straight_double,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P049,37,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P051,115,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_01.BODY.P034|72|PASSION24.TEXT.RELATED_HOUR_01.BODY.P034|234|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_01.BODY.P034,72,PASSION24.TEXT.RELATED_HOUR_01.BODY.P034,234,JESUS,CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_01.BODY.P041|182|PASSION24.TEXT.RELATED_HOUR_01.BODY.P047|316|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_01.BODY.P041,182,PASSION24.TEXT.RELATED_HOUR_01.BODY.P047,316,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_05.BODY.P008|555|PASSION24.TEXT.RELATED_HOUR_05.BODY.P008|667|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_05.BODY.P008,555,PASSION24.TEXT.RELATED_HOUR_05.BODY.P008,667,JESUS,CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_06.BODY.P025|74|PASSION24.TEXT.RELATED_HOUR_06.BODY.P026|50|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_06.BODY.P025,74,PASSION24.TEXT.RELATED_HOUR_06.BODY.P026,50,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_06.BODY.P028|187|PASSION24.TEXT.RELATED_HOUR_06.BODY.P029|55|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_06.BODY.P028,187,PASSION24.TEXT.RELATED_HOUR_06.BODY.P029,55,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_06.BODY.P037|90|PASSION24.TEXT.RELATED_HOUR_06.BODY.P038|58|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_06.BODY.P037,90,PASSION24.TEXT.RELATED_HOUR_06.BODY.P038,58,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_06.BODY.P039|165|PASSION24.TEXT.RELATED_HOUR_06.BODY.P039|225|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_06.BODY.P039,165,PASSION24.TEXT.RELATED_HOUR_06.BODY.P039,225,JESUS,CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_06.BODY.P042|50|PASSION24.TEXT.RELATED_HOUR_06.BODY.P043|48|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_06.BODY.P042,50,PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,48,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
straight_double|PASSION24.TEXT.RELATED_HOUR_06.BODY.P045|48|PASSION24.TEXT.RELATED_HOUR_06.BODY.P046|136|JESUS,straight_double,PASSION24.TEXT.RELATED_HOUR_06.BODY.P045,48,PASSION24.TEXT.RELATED_HOUR_06.BODY.P046,136,JESUS,OPEN_DELIMITER_NOT_PARENT_PRESENTED;CLOSE_DELIMITER_NOT_PARENT_PRESENTED
