active_breaks_near_exit,alias_group,alias_key,all_projection_breaks,all_topology_breaks,context_after,context_before,full_text,label,next_char,next_token,orphan_break,paragraph_id,quoted,resume_lexical_offset,row_id,run_end,run_index,run_start,speaker,speech_end_map,text_sha256,wrapper_end,wrapper_start
110,PASSION24.HOUR.01.P008#R00,c86c4cf9a31bc226,110,110," Cette bénédiction remédiera aux offenses des créatures, et, douce et suave, descendra jusqu’à son Cœur."," te faisant ses adieux, Jésus veut entendre de ta Bouche ces douces Paroles : « ","Mais en te faisant ses adieux, Jésus veut entendre de ta Bouche ces douces Paroles : « Je Te bénis, ô Fils ! » Cette bénédiction remédiera aux offenses des créatures, et, douce et suave, descendra jusqu’à son Cœur.",1e Heure — Jésus fait ses adieux à sa Mère,C,Cette,,PASSION24.HOUR.01.P008,"Je Te bénis, ô Fils !",111,PASSION24.HOUR.01.P008#R00,108,0,87,MARY,110,3f18d0e3e814923150ef0c6b333674dcf0622d2e9a4f1a17731920366cd09826,110,108
119,PASSION24.HOUR.01.P014#R00,3a9426d7238bfa7e,119,119," Ô Jésus, mon doux Amour, bénis-moi aussi avec ta Mère. Bénis mes pensées, mon cœur, mes mains, mes pas, mes œuvres. Bénis toutes les créatures.","e tu présentes ces bénédictions à Jésus, j’entends ta Voix émue qui Lui dit : « ","Mais tandis que tu présentes ces bénédictions à Jésus, j’entends ta Voix émue qui Lui dit : « Fils, bénis-moi aussi ! » Ô Jésus, mon doux Amour, bénis-moi aussi avec ta Mère. Bénis mes pensées, mon cœur, mes mains, mes pas, mes œuvres. Bénis toutes les créatures.",1e Heure — Jésus fait ses adieux à sa Mère,Ô,Ô,,PASSION24.HOUR.01.P014,"Fils, bénis-moi aussi !",120,PASSION24.HOUR.01.P014#R00,117,0,94,MARY,119,dddd187cb1bbb47720662ef22592c3ed22b55894449cb4072f2ab4f20900aab1,119,117
203,PASSION24.HOUR.02.P014#R00,88bcd8b0a7b45784,203,203," À ces propos, les apôtres sont tout tristes et ne savent que répondre.",« ,"« Ma Vie est sur le point de s’éteindre ici-bas comme le soleil est sur le point de se coucher. Demain à pareille heure, Je n’y serai plus ! Mais en tant que Soleil, Je ressusciterai le troisième jour. » À ces propos, les apôtres sont tout tristes et ne savent que répondre.",2e Heure — Jésus se sépare de sa Très Sainte Mère et se rend au Cénacle,À,À,,PASSION24.HOUR.02.P014,"Ma Vie est sur le point de s’éteindre ici-bas comme le soleil est sur le point de se coucher. Demain à pareille heure, Je n’y serai plus ! Mais en tant que Soleil, Je ressusciterai le troisième jour.",204,PASSION24.HOUR.02.P014#R00,201,0,2,JESUS,203,c77c93d672fac44f01e58c8da08cf5cece6b1e85f3eb1507ef9ffc1dae9717bc,203,201
147,PASSION24.HOUR.02.P015#R00,a1638de2b09c9adb,147,147," D’une Voix émue, Tu continues à les instruire. Avant de rentrer dans le Cénacle, Tu regardes le soleil qui se couche et qui, comme ta Vie, est sur le point de s’éteindre.",Tu ajoutes : « ,"Tu ajoutes : « Courage, ne vous laissez pas abattre, Je serai toujours avec vous. Cependant, il est nécessaire que Je meure pour le bien de tous. » D’une Voix émue, Tu continues à les instruire. Avant de rentrer dans le Cénacle, Tu regardes le soleil qui se couche et qui, comme ta Vie, est sur le point de s’éteindre.",2e Heure — Jésus se sépare de sa Très Sainte Mère et se rend au Cénacle,D,D’une,,PASSION24.HOUR.02.P015,"Courage, ne vous laissez pas abattre, Je serai toujours avec vous. Cependant, il est nécessaire que Je meure pour le bien de tous.",148,PASSION24.HOUR.02.P015#R00,145,0,15,JESUS,147,85b53f441a454dfa1d8de4a769df327d98d61d7517d961aabcda15f9f6869ad2,147,145
113,PASSION24.HOUR.04.P034#R00,92cd39bba7446fab,113,113," Le Père s’émeut à ces propos tendres et affectueux. Il descend du Ciel. Il est là sur la Table sacrée, avec le Saint-Esprit. Les deux sont avec Toi, ô Jésus. Et Toi, d’une Voix ma",,"Nos Œuvres sont éternelles et mon Amour est incommensurable. Je ne puis, ni ne veux, laisser mes enfants seuls. » Le Père s’émeut à ces propos tendres et affectueux. Il descend du Ciel. Il est là sur la Table sacrée, avec le Saint-Esprit. Les deux sont avec Toi, ô Jésus. Et Toi, d’une Voix majestueuse et émouvante, Tu prononces les Paroles de la consécration.",4e Heure — Le lavement des pieds – La Cène Eucharistique,L,Le,,PASSION24.HOUR.04.P034,"Nos Œuvres sont éternelles et mon Amour est incommensurable. Je ne puis, ni ne veux, laisser mes enfants seuls.",114,PASSION24.HOUR.04.P034#R00,111,0,0,JESUS,113,7f4652823c7fe05758d4c3deb42f62c3d90d00c74bebc6bea6b0d46e93ef7f2a,113,111
93,PASSION24.HOUR.04.P065#R00,33bbb92ab2db7e2f,93,93," Comme je Te plains, Jésus ! Ton Amour est mis au pilori ! Moi, pour Te dédommager, je Te prie d’enchaîner mon cœur avec ces chaînes brisées par les créatures, pour pouvoir Te donn",,"Cela M’attriste tant que ça Me donne une fièvre violente qui Me fait M’évanouir et délirer. » Comme je Te plains, Jésus ! Ton Amour est mis au pilori ! Moi, pour Te dédommager, je Te prie d’enchaîner mon cœur avec ces chaînes brisées par les créatures, pour pouvoir Te donner à leur place un retour d’amour.",4e Heure — Le lavement des pieds – La Cène Eucharistique,C,Comme,,PASSION24.HOUR.04.P065,Cela M’attriste tant que ça Me donne une fièvre violente qui Me fait M’évanouir et délirer.,94,PASSION24.HOUR.04.P065#R00,91,0,0,JESUS,93,ec426871a5e90097a8b5ef3a08ff6858e27d6bba387c0a7df6da429cb4241709,93,91
483,PASSION24.HOUR.05.P028#R00,d442d293ed0967da,483,483," Mon Jésus, Tu m’appelles dans ton Cœur pour me faire voir ce que l’Amour Te fait souffrir. Alors j’y entre. Mais que vois-je ?",,"Âme, c’est l’Amour qui prédomine en Moi. L’Amour est un clou pour Moi, l’Amour est un fouet pour Moi, l’Amour est une couronne d’épines pour Moi, l’Amour est tout pour Moi, l’Amour est ma Passion éternelle, alors que ce que Je souffre dans mon Humanité est temporaire. Mon enfant, entre dans mon Cœur et viens te perdre dans mon Amour. Seulement dans mon Amour tu comprendras combien Je souffre pour toi et combien Je t’aime. Ainsi tu apprendras à M’aimer et à souffrir par amour ! » Mon Jésus, Tu m’appelles dans ton Cœur pour me faire voir ce que l’Amour Te fait souffrir. Alors j’y entre. Mais que vois-je ?",5e Heure — Première Heure de l’Agonie dans le Jardin,M,Mon,,PASSION24.HOUR.05.P028,"Âme, c’est l’Amour qui prédomine en Moi. L’Amour est un clou pour Moi, l’Amour est un fouet pour Moi, l’Amour est une couronne d’épines pour Moi, l’Amour est tout pour Moi, l’Amour est ma Passion éternelle, alors que ce que Je souffre dans mon Humanité est temporaire. Mon enfant, entre dans mon Cœur et viens te perdre dans mon Amour. Seulement dans mon Amour tu comprendras combien Je souffre pour toi et combien Je t’aime. Ainsi tu apprendras à M’aimer et à souffrir par amour !",484,PASSION24.HOUR.05.P028#R00,481,0,0,JESUS,483,981251d0cd7e2d8d6c6fd7945c6ecdd31d84cea8892c13a043c837c603a76e03,483,481
142,PASSION24.HOUR.05.REF.P005#R00,6053f94c3300f364,142,142," Pour nous conformer en toute chose à Jésus, nous devons rentrer en nous-mêmes et nous poser cette question : « En tout ce que je fais, est-ce qu’il y a un flux continu d’Amour qui",« ,"« Je suis calciné par l’Amour et il n’y a personne qui veut mon Amour. De grâce, soulagez-Moi. Acceptez mon Amour et donnez-Moi de l’amour ! » Pour nous conformer en toute chose à Jésus, nous devons rentrer en nous-mêmes et nous poser cette question : « En tout ce que je fais, est-ce qu’il y a un flux continu d’Amour qui circule entre Dieu et moi ? »",5e Heure — Réflexions,P,Pour,,PASSION24.HOUR.05.REF.P005,"Je suis calciné par l’Amour et il n’y a personne qui veut mon Amour. De grâce, soulagez-Moi. Acceptez mon Amour et donnez-Moi de l’amour !",143,PASSION24.HOUR.05.REF.P005#R00,140,0,2,JESUS,142,87031b1fcaf655cf24f83c0c5e2e7dda8017dddb2a77aac4dee2bd8d74b9e5ab,142,140
106,PASSION24.HOUR.06.P012#R00,5140bd62efffdd18,106,106, C’est la première fois que j’entends ces mots de ta Bouche. Comme les Accents de ta Voix déchirent mon cœur ! Toutes les révoltes des créatures se présentent devant Toi. Ce « Fiat,« ,"« Père, si c’est possible, que s’écarte de Moi ce calice. Cependant, non pas ma Volonté, mais la Tienne. » C’est la première fois que j’entends ces mots de ta Bouche. Comme les Accents de ta Voix déchirent mon cœur ! Toutes les révoltes des créatures se présentent devant Toi. Ce « Fiat Voluntas Tua » qui devrait être le principe de Vie de toute créature, Tu le vois rejeté par presque toutes. En conséquence, au lieu de trouver la Vie, elles trouvent la mort.",6e Heure — Deuxième Heure de l’Agonie dans le Jardin,C,C’est,,PASSION24.HOUR.06.P012,"Père, si c’est possible, que s’écarte de Moi ce calice. Cependant, non pas ma Volonté, mais la Tienne.",107,PASSION24.HOUR.06.P012#R00,104,0,2,JESUS,106,8428f176c5d3b2f9f2531708b23f28183f7ed9069d849270670009befa4fb4ee,106,104
165,PASSION24.HOUR.07.P007#R00,e49753ed49c7c432,165,165," Jésus, Tu vacilles et Tu es sur le point de tomber. Alors Jean étend les bras pour Te soutenir. Tu es tellement méconnaissable. Si ce n’était pas de ta suave Voix, tes disciples n",« ,"« Mes fils, ne dormez pas, l’heure est proche. Ne voyez-vous pas à quel état Je suis réduit ? De grâce, aidez-Moi, ne M’abandonnez pas en ces Heures si terribles ! » Jésus, Tu vacilles et Tu es sur le point de tomber. Alors Jean étend les bras pour Te soutenir. Tu es tellement méconnaissable. Si ce n’était pas de ta suave Voix, tes disciples ne Te reconnaîtraient pas. Puis, leur recommandant de veiller et de prier, Tu retournes dans le Jardin.",7e Heure — Troisième Heure de l’Agonie dans le Jardin,J,Jésus,,PASSION24.HOUR.07.P007,"Mes fils, ne dormez pas, l’heure est proche. Ne voyez-vous pas à quel état Je suis réduit ? De grâce, aidez-Moi, ne M’abandonnez pas en ces Heures si terribles !",166,PASSION24.HOUR.07.P007#R00,163,0,2,JESUS,165,429ce91512000e8c238fb51352f1e306e63843a56a8f64e71edadb196b16f904,165,163
