paragraph_id,text_sha256,masked_host_text
PASSION24.HOUR.01.P008,3f18d0e3e814923150ef0c6b333674dcf0622d2e9a4f1a17731920366cd09826,"Mais en te faisant ses adieux, Jésus veut entendre de ta Bouche ces douces Paroles : « ⟦Q:MARY⟧ » Cette bénédiction remédiera aux offenses des créatures, et, douce et suave, descendra jusqu’à son Cœur."
PASSION24.HOUR.01.P014,dddd187cb1bbb47720662ef22592c3ed22b55894449cb4072f2ab4f20900aab1,"Mais tandis que tu présentes ces bénédictions à Jésus, j’entends ta Voix émue qui Lui dit : « ⟦Q:MARY⟧ » Ô Jésus, mon doux Amour, bénis-moi aussi avec ta Mère. Bénis mes pensées, mon cœur, mes mains, mes pas, mes œuvres. Bénis toutes les créatures."
PASSION24.HOUR.02.P014,c77c93d672fac44f01e58c8da08cf5cece6b1e85f3eb1507ef9ffc1dae9717bc,"« ⟦Q:JESUS⟧ » À ces propos, les apôtres sont tout tristes et ne savent que répondre."
PASSION24.HOUR.02.P015,85b53f441a454dfa1d8de4a769df327d98d61d7517d961aabcda15f9f6869ad2,"Tu ajoutes : « ⟦Q:JESUS⟧ » D’une Voix émue, Tu continues à les instruire. Avant de rentrer dans le Cénacle, Tu regardes le soleil qui se couche et qui, comme ta Vie, est sur le point de s’éteindre."
PASSION24.HOUR.04.P034,7f4652823c7fe05758d4c3deb42f62c3d90d00c74bebc6bea6b0d46e93ef7f2a,"⟦Q:JESUS⟧ » Le Père s’émeut à ces propos tendres et affectueux. Il descend du Ciel. Il est là sur la Table sacrée, avec le Saint-Esprit. Les deux sont avec Toi, ô Jésus. Et Toi, d’une Voix majestueuse et émouvante, Tu prononces les Paroles de la consécration."
PASSION24.HOUR.04.P065,ec426871a5e90097a8b5ef3a08ff6858e27d6bba387c0a7df6da429cb4241709,"⟦Q:JESUS⟧ » Comme je Te plains, Jésus ! Ton Amour est mis au pilori ! Moi, pour Te dédommager, je Te prie d’enchaîner mon cœur avec ces chaînes brisées par les créatures, pour pouvoir Te donner à leur place un retour d’amour."
PASSION24.HOUR.05.P028,981251d0cd7e2d8d6c6fd7945c6ecdd31d84cea8892c13a043c837c603a76e03,"⟦Q:JESUS⟧ » Mon Jésus, Tu m’appelles dans ton Cœur pour me faire voir ce que l’Amour Te fait souffrir. Alors j’y entre. Mais que vois-je ?"
PASSION24.HOUR.05.REF.P005,87031b1fcaf655cf24f83c0c5e2e7dda8017dddb2a77aac4dee2bd8d74b9e5ab,"« ⟦Q:JESUS⟧ » Pour nous conformer en toute chose à Jésus, nous devons rentrer en nous-mêmes et nous poser cette question : « En tout ce que je fais, est-ce qu’il y a un flux continu d’Amour qui circule entre Dieu et moi ? »"
PASSION24.HOUR.06.P012,8428f176c5d3b2f9f2531708b23f28183f7ed9069d849270670009befa4fb4ee,"« ⟦Q:JESUS⟧ » C’est la première fois que j’entends ces mots de ta Bouche. Comme les Accents de ta Voix déchirent mon cœur ! Toutes les révoltes des créatures se présentent devant Toi. Ce « Fiat Voluntas Tua » qui devrait être le principe de Vie de toute créature, Tu le vois rejeté par presque toutes. En conséquence, au lieu de trouver la Vie, elles trouvent la mort."
PASSION24.HOUR.07.P007,429ce91512000e8c238fb51352f1e306e63843a56a8f64e71edadb196b16f904,"« ⟦Q:JESUS⟧ » Jésus, Tu vacilles et Tu es sur le point de tomber. Alors Jean étend les bras pour Te soutenir. Tu es tellement méconnaissable. Si ce n’était pas de ta suave Voix, tes disciples ne Te reconnaîtraient pas. Puis, leur recommandant de veiller et de prier, Tu retournes dans le Jardin."
PASSION24.HOUR.07.P015,b4787918206c53d49090f534a3e5f8d98200b30fb4b77ef2f94900f4c67452a6,⟦Q:JESUS⟧ » Puis il me semble entendre que Tu appelles à l’aide ta chère Maman :
PASSION24.HOUR.07.P030,4634f58998a2ca1644376a8cb05d01dc31e96b4540fa01a1b7eeb08600c4a4c9,"⟦Q:JESUS⟧ » Jésus, chacun de tes Gémissements est une blessure à mon cœur. Je fais miens ton Sang, ton Vouloir, ton Zèle ardent, ton Amour."
PASSION24.HOUR.07.P117,00e20c43e6c808401a53eefc135761653ba68719efa5848892680e06ab1396ea,"« ⟦Q:JESUS⟧ » Ô Jésus agonisant, ta Vie est sur le point de s’éteindre. J’entends tes gémissements. Tes beaux Yeux sont voilés par la mort toute proche. Tous tes Membres cèdent et Tu sembles ne plus respirer. Mon cœur est brisé de douleur. Je T’embrasse et je Te sens gelé. Je Te secoue et Tu ne donnes pas signe de vie : « Jésus, es-Tu mort ? »"
PASSION24.HOUR.07.P125,277905e8051e6342d63872a475a6e71d97656f9b8e581adf13daad0b4d2e6bdf,"⟦Q:JESUS⟧ » Mon Jésus angoissé, puisque Tu as voulu porter en Toi ma mort, je Te prie de venir m’assister au moment de ma mort."
PASSION24.HOUR.08.P007,defe0ee6ba0584e501ca00f7c12a98e001fd65bdcc8de6ce8b08bc98bc626147,"Ah ! comme elle m’est douce au cœur, la Parole que Tu adressas à Judas : « ⟦Q:JESUS⟧ » On dirait que c’est à moi aussi que Tu adresses cette Parole, non en m’appelant “ami”, mais en m’appelant du doux nom d’“enfant”."
PASSION24.HOUR.08.P008,c5c6edd2c3cb979c27c8612ac78bf87b65b416228afd4ae4335f6c24bed10920,"« ⟦Q:JESUS⟧ » Et je veux Te répondre : « Jésus, je viens pour T’aimer. »"
PASSION24.HOUR.08.P009,840d2a04d5614d1f5e0eab3d41e237aec1f00c982b89c5cb590f3a979b11d23b,"Tu me dis : « ⟦Q:JESUS⟧ » quand je me réveille le matin ou quand je Te prie. Tu me répètes : « ⟦Q:JESUS⟧ » à travers la sainte Hostie, quand je viens Te recevoir dans mon cœur. Quel beau rappel pour moi !"
PASSION24.HOUR.08.P010,7b830264a69d1efb5682e5dfff1dc86a35ff37c8000163489309fe6280950518,"Mais combien, à ton « ⟦Q:JESUS⟧ » répondent : « Je viens pour T’offenser ! »"
PASSION24.HOUR.08.P014,74bd1faae3bdbdaa45b8c65b75a113bc02ba81821b8903f28350c8c931555ee5,"Alors Tu leur dis : « ⟦Q:JESUS⟧ » Par ces simples paroles, Tu dis tout. Tu Te fais connaître pour ce que Tu es. Tant et si bien que tes ennemis tremblent et tombent à la renverse, comme morts."
PASSION24.HOUR.08.P015,0e8e25ba179b80db3015404fdc30bbeda72ac9d5710f67750d4468b27e4e1506,"Et Toi, ô Amour, c’est par un autre « ⟦Q:JESUS⟧ » que Tu les rappelles à la Vie et que, de ta propre initiative, Tu Te places entre leurs mains. Et eux, perfides et ingrats, au lieu de s’humilier et de trembler à tes pieds pour Te demander pardon, ils abusent de ta Bonté et ils méprisent tes Grâces et tes Prodiges, ils Te mettent les Mains dans le dos et, avec des cordes et des chaînes, Te lient, Te serrent, Te jettent par terre, Te foulent aux pieds, Te tirent par les Cheveux. Et Toi, avec une patience inouïe, Tu Te tais, Tu souffres et Tu répares les offenses qui, malgré tes Miracles, sont faites obstinément. Par les cordes et les chaînes que Tu supportes, Tu brises les chaînes de nos fautes et Tu nous attaches par la douce chaîne de l’Amour."
PASSION24.HOUR.09.P010,0eff0c7e558d2dd5c679da7ac7e3b9e3db060a824c6ca1705cb32c65c1e83ebe,"⟦Q:JESUS⟧ » Oui, mon Jésus, avec l’aide de ta Grâce et en m’identifiant à ta Divine Volonté je Te promets de ne jamais Te laisser seul."
PASSION24.HOUR.10.P002,8693e4f039b62d7bbfeffcc5c2dc4e37512184a6e4db7fbffa482a8843993b35,"Il T’interroge sur ta Doctrine et tes disciples. Et Toi, ô Jésus, pour défendre la Gloire du Père, Tu réponds d’une Voix sonore et digne : « ⟦Q:JESUS⟧ » À ces Paroles, tous tremblent. Perfidement, un serviteur s’approche de Toi. D’une main ferrée, il Te donne une gifle si forte qu’elle Te fait chanceler et rend livide ton doux Visage !"
PASSION24.HOUR.11.P010,03748084ad481a333bb73fba4edf9d706a36d29b6a6898be656c4e342f9ea5ce,"⟦Q:JESUS⟧ » Mon doux Amour, le vacarme de tes ennemis est si considérable qu’il m’empêche de prendre un peu de sommeil. Les coups deviennent plus violents. J’entends le bruit des chaînes avec lesquelles ils T’ont attaché si fermement que de tes Poignets jaillit du Sang, lequel marque ces rues."
PASSION24.HOUR.11.P021,a6762f6245c19d99c3d520afa0563f45b2c0f5645b86da76b5a8bcbc4e118a74,"⟦Q:JESUS⟧ » Mon Bien renié, comme elles se reconnaissent vite les offenses de ceux qui Te sont les plus chers !"
PASSION24.HOUR.11.P030,428cebcfe9048cf1bf025e341d938e882e5f9e8198fd33bc23a8185508c3ed8c,"« ⟦Q:JESUS⟧ » À ces Paroles solennelles, tous font silence et frissonnent d’épouvante. Après quelques instants de sa propre épouvante, Caïphe, furieux comme une bête féroce, dit à tous : « À quoi bon les témoins maintenant ? Il vient de proférer un grand blasphème. Qu’attendons-nous de plus pour le condamner ? Il est coupable de mort ! »"
PASSION24.HOUR.13.P005,a0e6d29206019aae50560efe0eeb3cb912c467a6f54555e7dad2fce6fe204bef,"Tu me réponds : « ⟦Q:JESUS⟧ » Mon Jésus, à ma stupeur, je vois qu’au lieu de Te préoccuper de tes Peines, Tu penses avec un Amour indicible à glorifier le Père pour Le dédommager de nos négligences envers Lui, et Tu appelles toutes les âmes autour de Toi pour prendre tous leurs maux sur Toi et leur donner tous tes Biens."
PASSION24.HOUR.15.P005,1fe7971777119b2d85e26afa8216a2231531c0b31ca409479224af3c289a4642,"« ⟦Q:JESUS⟧ » Pilate est surpris et touché par la suavité et la dignité de tes Paroles, et il Te dit : « Comment, Tu es roi ? »"
PASSION24.HOUR.16.P015,931b222d6046ed3b0f46fad9efda0d19fe435f9fc18b9a7584c4290cee10cf1f,"⟦Q:JESUS⟧ » Comme elles sont réelles et incessantes nos décisions de faire passer Dieu en second, même chez ceux qui aiment Jésus !"
PASSION24.HOUR.16.P028,587bfb1c0a6d2bf5885a6df287a9d1e209c2114dda005960440fe42202eb61ea,"⟦Q:JESUS⟧ » Jésus torturé, ton Amour passe d’un excès à l’autre. Je vois que tes bourreaux prennent des fouets de corde et Te battent sans pitié, à tel point que ton Corps infiniment saint devient tout livide."
PASSION24.HOUR.16.P045,1f73884e661135a36c0a718ff48463c47ce393b61b6992adfce0922654cfdc5b,"⟦Q:JESUS⟧ » Jésus, l’Amour avec lequel Tu souffres est si grand, que Tu excites presque tes bourreaux à Te battre davantage !"
PASSION24.HOUR.17.P014,43ee151361e8da9e3f111010c2d6a7593c9f8fd186d831a4d9d4d40c455c2d58,"⟦Q:JESUS⟧ » Poursuivant dans leurs cruautés, tes ennemis Te font asseoir, déposent sur Toi une guenille de pourpre, prennent une couronne d’épines qu’ils viennent de fabriquer, et avec une furie infernale, la placent sur ta Tête adorable. Puis, à coups de bâton, ils Te font pénétrer les épines dans la Tête."
PASSION24.HOUR.17.P027,0f4c182dace3c23c18bdd30ab9501bcb7b386d08d52a7da1783da27379314d7e,"⟦Q:JESUS⟧ » Mon Amour, je Te prie de me piquer les oreilles de tes épines, afin qu’elles puissent n’entendre que ta Voix, mes yeux pour qu’ils ne regardent que Toi, ma bouche pour que ma langue reste muette par rapport à tout ce qui pourrait T’offenser et libre pour Te louer et Te bénir en toutes choses."
PASSION24.HOUR.17.P044,869646265b0de1edb6f2d546b46cb2d40350174de196dbf8071d9a1d625e2fc8,"⟦Q:JESUS⟧ » Mon Amour, je vois que, Te voyant si mal en point, Pilate frissonne."
PASSION24.HOUR.18.P002,fa98377ab931e85708e829ea8ef54486dcbd089e3b78c1e5b3d50e2a5473b03b,"À chacun de tes gémissements, je T’entends dire : « ⟦Q:JESUS⟧ » Chaque goutte de ton Sang proclame : « ⟦Q:JESUS⟧ »"
PASSION24.HOUR.18.P031,cab11dcd32a14a026be338b346679636e6f34ba5753e7927f0938690916b343f,"⟦Q:JESUS⟧ » Anxieux, Tu Te la fais placer sur tes Épaules infiniment saintes. Ah ! mon Jésus, ta Croix est trop légère pour ton Amour. Mais à son poids s’ajoute celui de nos fautes, aussi lourd que toute la terre. Mon Bien, Tu Te sens écrasé sous le poids de tant de fautes."
PASSION24.HOUR.18.P113,cb4b37cbd6dedf7076f2bf3d846746085161caa027dc233a6577133b8fdae357,"⟦Q:JESUS⟧ » Mon Bien dénudé, tandis qu’avec Toi je répare, je Te prie qu’au moyen de tes Mains infiniment saintes Tu me dépouilles de tout et que Tu ne permettes à aucune affection mauvaise d’entrer dans mon cœur."
PASSION24.HOUR.19.P018,52eb8baa16a1bc6b09855b603038e76a0c8f5e64939e8e0427cb0944cc5ee541,"⟦Q:JESUS⟧ » Mais, qui peut dire tout ce que mon doux Jésus a dit sur la Croix ? Et tandis que Jésus parle ainsi, ses bourreaux Lui ordonnent de S’étendre sur la Croix. Il leur obéit promptement, réparant ainsi nos désobéissances."
