record_id,text,record_class,doc_id,doc_order,record_order,title,surface,source_index
PASSION24.HOUR.01.P001,"Ô Maman céleste, l’heure de la séparation approche, et je me joins à toi. Ô Mère, communique-moi ton Amour et fais-moi partager tes Réparations. Communique-moi ta Douleur car, avec toi, je veux suivre pas à pas mon adorable Jésus.",hour_meditation,PASSION24.HOUR.01.MEDITATION,1,1,Jésus fait ses adieux à sa Mère,hour_meditation,1
PASSION24.HOUR.01.P002,"Et voici que Jésus vient. Tu cours à sa rencontre l’âme toute débordante d’Amour. En Le voyant si pâle et si triste, ton Cœur se serre, les forces te manquent et tu te sens sur le point de t’écrouler.",hour_meditation,PASSION24.HOUR.01.MEDITATION,1,2,Jésus fait ses adieux à sa Mère,hour_meditation,2
PASSION24.HOUR.01.P003,"Ô ma douce Maman, sais-tu pourquoi l’adorable Jésus est venu te rencontrer ? Il est venu te faire ses adieux, te dire ses dernières Paroles et recevoir tes derniers embrassements.",hour_meditation,PASSION24.HOUR.01.MEDITATION,1,3,Jésus fait ses adieux à sa Mère,hour_meditation,3
PASSION24.HOUR.01.P004,"Ô Mère, je me serre contre toi avec toute la tendresse dont est capable mon cœur, afin que, pressée contre toi, moi aussi je puisse recevoir les embrassements de l’adorable Jésus.",hour_meditation,PASSION24.HOUR.01.MEDITATION,1,4,Jésus fait ses adieux à sa Mère,hour_meditation,4
PASSION24.HOUR.01.P005,"Me dédaigneras-tu ? N’est-ce pas plutôt un réconfort pour ton Cœur d’avoir une âme unie à toi pour partager tes Afflictions et tes Réparations ! Ô Jésus, en cette heure si navrante pour ton Cœur infiniment tendre, quel Enseignement nous donnes-Tu d’obéissance filiale et amoureuse à ta Maman !",hour_meditation,PASSION24.HOUR.01.MEDITATION,1,5,Jésus fait ses adieux à sa Mère,hour_meditation,5
PASSION24.HOUR.01.P006,Quelle douce harmonie existe entre Toi et elle ! Quel enchantement suave d’Amour s’élève jusqu’au Trône de l’Éternel et se disperse pour le salut de toutes tes créatures !,hour_meditation,PASSION24.HOUR.01.MEDITATION,1,6,Jésus fait ses adieux à sa Mère,hour_meditation,6
PASSION24.HOUR.01.P007,"Ô ma céleste Maman, sais-tu ce que veut de toi l’adorable Jésus ? Rien d’autre que ta dernière bénédiction. Il est vrai que de toutes les parcelles de ton être ne sortent que bénédictions et louanges pour ton Créateur.",hour_meditation,PASSION24.HOUR.01.MEDITATION,1,7,Jésus fait ses adieux à sa Mère,hour_meditation,7
PASSION24.HOUR.01.P008,"Mais en te faisant ses adieux, Jésus veut entendre de ta Bouche ces douces Paroles : « Je Te bénis, ô Fils ! » Cette bénédiction remédiera aux offenses des créatures, et, douce et suave, descendra jusqu’à son Cœur.",hour_meditation,PASSION24.HOUR.01.MEDITATION,1,8,Jésus fait ses adieux à sa Mère,hour_meditation,8
PASSION24.HOUR.01.P009,"Je m’unis à toi, ô douce Maman. Et sur les ailes du vent, je veux parcourir le Ciel pour demander au Père, au Saint-Esprit et à tous les anges, un « Je Te bénis » pour Jésus, afin que je puisse Lui apporter ces bénédictions.",hour_meditation,PASSION24.HOUR.01.MEDITATION,1,9,Jésus fait ses adieux à sa Mère,hour_meditation,9
PASSION24.HOUR.01.P010,"Et ici, sur cette terre, je veux aller chez toutes les créatures et demander que chaque bouche, chaque battement de cœur, chaque pas, chaque respiration, chaque regard, chaque pensée, disent un « je Te bénis » à Jésus. Et si certaines personnes refusent, je veux le dire à leur place.",hour_meditation,PASSION24.HOUR.01.MEDITATION,1,10,Jésus fait ses adieux à sa Mère,hour_meditation,10
