runtime_boundary_id,record_id,surface,route_label,renderer_family,boundary_type,source_offset,char_at_offset,char_codepoint,next_8_codepoints,block_level_runtime,superseded_or_reset_by_other_boundary,dom_classes,first_visible_offset,first_visible_char,leading_whitespace_char_count,first_visible_glyph_dx_px,alignment_tolerance_px,alignment_status,context,source_text_sha256
RB0001,PASSION24.HOUR.01.P008,Main Hour meditation text,H01_meditation,speech_break,intra,110, ,U+0020,U+0020 U+0043 U+0065 U+0074 U+0074 U+0065 U+0020 U+0062,True,False,speech-end-visual-break speech-presentation-visual-break,111,C,1,3.8125,1.0,FAIL,"« Je Te bénis, ô Fils ! » Cette bénédiction remédiera aux offenses des créatures,",3f18d0e3e814923150ef0c6b333674dcf0622d2e9a4f1a17731920366cd09826
RB0002,PASSION24.HOUR.01.P014,Main Hour meditation text,H01_meditation,speech_break,intra,119, ,U+0020,U+0020 U+00D4 U+0020 U+004A U+00E9 U+0073 U+0075 U+0073,True,False,speech-end-visual-break speech-presentation-visual-break,120,Ô,1,3.8125,1.0,FAIL,"Fils, bénis-moi aussi ! » Ô Jésus, mon doux Amour, bénis-moi aussi avec ta Mère. ",dddd187cb1bbb47720662ef22592c3ed22b55894449cb4072f2ab4f20900aab1
RB0004,PASSION24.HOUR.02.P014,Main Hour meditation text,H02_meditation,speech_break,intra,203, ,U+0020,U+0020 U+00C0 U+0020 U+0063 U+0065 U+0073 U+0020 U+0070,True,False,speech-end-visual-break speech-presentation-visual-break,204,À,1,3.8125,1.0,FAIL,"erai le troisième jour. » À ces propos, les apôtres sont tout tristes et ne saven",c77c93d672fac44f01e58c8da08cf5cece6b1e85f3eb1507ef9ffc1dae9717bc
RB0005,PASSION24.HOUR.02.P015,Main Hour meditation text,H02_meditation,speech_break,intra,147, ,U+0020,U+0020 U+0044 U+2019 U+0075 U+006E U+0065 U+0020 U+0056,True,False,speech-end-visual-break speech-presentation-visual-break,148,D,1,3.8125,1.0,FAIL,"e pour le bien de tous. » D’une Voix émue, Tu continues à les instruire. Avant de",85b53f441a454dfa1d8de4a769df327d98d61d7517d961aabcda15f9f6869ad2
RB0024,PASSION24.HOUR.04.P034,Main Hour meditation text,H04_meditation,speech_break,intra,113, ,U+0020,U+0020 U+004C U+0065 U+0020 U+0050 U+00E8 U+0072 U+0065,True,False,speech-end-visual-break speech-presentation-visual-break,114,L,1,3.8125,1.0,FAIL,sser mes enfants seuls. » Le Père s’émeut à ces propos tendres et affectueux. Il ,7f4652823c7fe05758d4c3deb42f62c3d90d00c74bebc6bea6b0d46e93ef7f2a
RB0026,PASSION24.HOUR.04.P065,Main Hour meditation text,H04_meditation,speech_break,intra,93, ,U+0020,U+0020 U+0043 U+006F U+006D U+006D U+0065 U+0020 U+006A,True,False,speech-end-visual-break speech-presentation-visual-break,94,C,1,3.8125,1.0,FAIL," M’évanouir et délirer. » Comme je Te plains, Jésus ! Ton Amour est mis au pilori",ec426871a5e90097a8b5ef3a08ff6858e27d6bba387c0a7df6da429cb4241709
RB0035,PASSION24.HOUR.05.REF.P005,Réflexions et pratiques,H05_reflections,speech_break,intra,142, ,U+0020,U+0020 U+0050 U+006F U+0075 U+0072 U+0020 U+006E U+006F,True,False,speech-end-visual-break speech-presentation-visual-break,143,P,1,3.8125,1.0,FAIL,"donnez-Moi de l’amour ! » Pour nous conformer en toute chose à Jésus, nous devons",87031b1fcaf655cf24f83c0c5e2e7dda8017dddb2a77aac4dee2bd8d74b9e5ab
RB0038,PASSION24.HOUR.06.P012,Main Hour meditation text,H06_meditation,speech_break,intra,106, ,U+0020,U+0020 U+0043 U+2019 U+0065 U+0073 U+0074 U+0020 U+006C,True,False,speech-end-visual-break speech-presentation-visual-break,107,C,1,3.8125,1.0,FAIL,"olonté, mais la Tienne. » C’est la première fois que j’entends ces mots de ta Bou",8428f176c5d3b2f9f2531708b23f28183f7ed9069d849270670009befa4fb4ee
RB0045,PASSION24.HOUR.07.P007,Main Hour meditation text,H07_meditation,speech_break,intra,165, ,U+0020,U+0020 U+004A U+00E9 U+0073 U+0075 U+0073 U+002C U+0020,True,False,speech-end-visual-break speech-presentation-visual-break,166,J,1,3.8125,1.0,FAIL,"s Heures si terribles ! » Jésus, Tu vacilles et Tu es sur le point de tomber. Alo",429ce91512000e8c238fb51352f1e306e63843a56a8f64e71edadb196b16f904
RB0046,PASSION24.HOUR.07.P015,Main Hour meditation text,H07_meditation,speech_break,intra,147, ,U+0020,U+0020 U+0050 U+0075 U+0069 U+0073 U+0020 U+0069 U+006C,True,False,speech-end-visual-break speech-presentation-visual-break,148,P,1,3.8125,1.0,FAIL,se pas sans réconfort ! » Puis il me semble entendre que Tu appelles à l’aide ta ,b4787918206c53d49090f534a3e5f8d98200b30fb4b77ef2f94900f4c67452a6
RB0047,PASSION24.HOUR.07.P030,Main Hour meditation text,H07_meditation,speech_break,intra,22, ,U+0020,U+0020 U+004A U+00E9 U+0073 U+0075 U+0073 U+002C U+0020,True,False,speech-end-visual-break speech-presentation-visual-break,23,J,1,3.8125,1.0,FAIL,"Venez, âmes, venez ! » Jésus, chacun de tes Gémissements est une blessure à mo",4634f58998a2ca1644376a8cb05d01dc31e96b4540fa01a1b7eeb08600c4a4c9
RB0049,PASSION24.HOUR.07.P125,Main Hour meditation text,H07_meditation,speech_break,intra,128, ,U+0020,U+0020 U+004D U+006F U+006E U+0020 U+004A U+00E9 U+0073,True,False,speech-end-visual-break speech-presentation-visual-break,129,M,1,3.8125,1.0,FAIL,"e Je ressentais en Moi. » Mon Jésus angoissé, puisque Tu as voulu porter en Toi m",277905e8051e6342d63872a475a6e71d97656f9b8e581adf13daad0b4d2e6bdf
RB0054,PASSION24.HOUR.08.P007,Main Hour meditation text,H08_meditation,speech_break,intra,111, ,U+0020,U+0020 U+004F U+006E U+0020 U+0064 U+0069 U+0072 U+0061,True,False,speech-end-visual-break speech-presentation-visual-break,112,O,1,3.8125,1.0,FAIL,urquoi es-tu venu ici ? » On dirait que c’est à moi aussi que Tu adresses cette P,defe0ee6ba0584e501ca00f7c12a98e001fd65bdcc8de6ce8b08bc98bc626147
RB0055,PASSION24.HOUR.08.P008,Main Hour meditation text,H08_meditation,speech_break,intra,42, ,U+0020,U+0020 U+0045 U+0074 U+0020 U+006A U+0065 U+0020 U+0076,True,False,speech-end-visual-break speech-presentation-visual-break,43,E,1,3.8125,1.0,FAIL,"rquoi es-tu venue ici ? » Et je veux Te répondre : « Jésus, je viens pour T’aimer",c5c6edd2c3cb979c27c8612ac78bf87b65b416228afd4ae4335f6c24bed10920
RB0056,PASSION24.HOUR.08.P009,Main Hour meditation text,H08_meditation,speech_break,intra,93, ,U+0020,U+0020 U+0054 U+0075 U+0020 U+006D U+0065 U+0020 U+0072,True,False,speech-end-visual-break speech-presentation-visual-break,94,T,1,3.8125,1.0,FAIL,atin ou quand je Te prie. Tu me répètes : « Pourquoi es-tu venue ici ? » à traver,840d2a04d5614d1f5e0eab3d41e237aec1f00c982b89c5cb590f3a979b11d23b
RB0057,PASSION24.HOUR.08.P009,Main Hour meditation text,H08_meditation,speech_break,intra,210, ,U+0020,U+0020 U+0051 U+0075 U+0065 U+006C U+0020 U+0062 U+0065,True,False,speech-end-visual-break speech-presentation-visual-break,211,Q,1,3.8125,1.0,FAIL,e recevoir dans mon cœur. Quel beau rappel pour moi !,840d2a04d5614d1f5e0eab3d41e237aec1f00c982b89c5cb590f3a979b11d23b
RB0058,PASSION24.HOUR.08.P014,Main Hour meditation text,H08_meditation,speech_break,intra,34, ,U+0020,U+0020 U+0050 U+0061 U+0072 U+0020 U+0063 U+0065 U+0073,True,False,speech-end-visual-break speech-presentation-visual-break,35,P,1,3.8125,1.0,FAIL,"leur dis : « Me voici ! » Par ces simples paroles, Tu dis tout. Tu Te fais connaî",74bd1faae3bdbdaa45b8c65b75a113bc02ba81821b8903f28350c8c931555ee5
RB0063,PASSION24.HOUR.09.P010,Main Hour meditation text,H09_meditation,speech_break,intra,147, ,U+0020,U+0020 U+004F U+0075 U+0069 U+002C U+0020 U+006D U+006F,True,False,speech-end-visual-break speech-presentation-visual-break,148,O,1,3.8125,1.0,FAIL,"jamais Me laisser seul. » Oui, mon Jésus, avec l’aide de ta Grâce et en m’identif",0eff0c7e558d2dd5c679da7ac7e3b9e3db060a824c6ca1705cb32c65c1e83ebe
RB0065,PASSION24.HOUR.10.P002,Main Hour meditation text,H10_meditation,speech_break,intra,206, ,U+0020,U+0020 U+00C0 U+0020 U+0063 U+0065 U+0073 U+0020 U+0050,True,False,speech-end-visual-break speech-presentation-visual-break,207,À,1,3.8125,1.0,FAIL,"ont ici M’ont entendu ! » À ces Paroles, tous tremblent. Perfidement, un serviteu",8693e4f039b62d7bbfeffcc5c2dc4e37512184a6e4db7fbffa482a8843993b35
RB0070,PASSION24.HOUR.11.P010,Main Hour meditation text,H11_meditation,speech_break,intra,141, ,U+0020,U+0020 U+004D U+006F U+006E U+0020 U+0064 U+006F U+0075,True,False,speech-end-visual-break speech-presentation-visual-break,142,M,1,3.8125,1.0,FAIL,"s fidèle et attentive ! » Mon doux Amour, le vacarme de tes ennemis est si consid",03748084ad481a333bb73fba4edf9d706a36d29b6a6898be656c4e342f9ea5ce
RB0072,PASSION24.HOUR.11.P021,Main Hour meditation text,H11_meditation,speech_break,intra,251, ,U+0020,U+0020 U+004D U+006F U+006E U+0020 U+0042 U+0069 U+0065,True,False,speech-end-visual-break speech-presentation-visual-break,252,M,1,3.8125,1.0,FAIL,"en Me suivant de loin ! » Mon Bien renié, comme elles se reconnaissent vite les o",a6762f6245c19d99c3d520afa0563f45b2c0f5645b86da76b5a8bcbc4e118a74
RB0092,PASSION24.HOUR.15.P005,Main Hour meditation text,H15_meditation,speech_break,intra,162, ,U+0020,U+0020 U+0050 U+0069 U+006C U+0061 U+0074 U+0065 U+0020,True,False,speech-end-visual-break speech-presentation-visual-break,163,P,1,3.8125,1.0,FAIL,s au pouvoir des Juifs. » Pilate est surpris et touché par la suavité et la digni,1fe7971777119b2d85e26afa8216a2231531c0b31ca409479224af3c289a4642
RB0098,PASSION24.HOUR.16.P015,Main Hour meditation text,H16_meditation,speech_break,intra,103, ,U+0020,U+0020 U+0043 U+006F U+006D U+006D U+0065 U+0020 U+0065,True,False,speech-end-visual-break speech-presentation-visual-break,104,C,1,3.8125,1.0,FAIL,rer toutes ces fautes ! » Comme elles sont réelles et incessantes nos décisions d,931b222d6046ed3b0f46fad9efda0d19fe435f9fc18b9a7584c4290cee10cf1f
RB0099,PASSION24.HOUR.16.P028,Main Hour meditation text,H16_meditation,speech_break,intra,76, ,U+0020,U+0020 U+004A U+00E9 U+0073 U+0075 U+0073 U+0020 U+0074,True,False,speech-end-visual-break speech-presentation-visual-break,77,J,1,3.8125,1.0,FAIL,"ie et répare avec Moi ! » Jésus torturé, ton Amour passe d’un excès à l’autre. Je",587bfb1c0a6d2bf5885a6df287a9d1e209c2114dda005960440fe42202eb61ea
RB0100,PASSION24.HOUR.16.P045,Main Hour meditation text,H16_meditation,speech_break,intra,193, ,U+0020,U+0020 U+004A U+00E9 U+0073 U+0075 U+0073 U+002C U+0020,True,False,speech-end-visual-break speech-presentation-visual-break,194,J,1,3.8125,1.0,FAIL,"és de céder devant Moi. » Jésus, l’Amour avec lequel Tu souffres est si grand, qu",1f73884e661135a36c0a718ff48463c47ce393b61b6992adfce0922654cfdc5b
RB0102,PASSION24.HOUR.17.P014,Main Hour meditation text,H17_meditation,speech_break,intra,47, ,U+0020,U+0020 U+0050 U+006F U+0075 U+0072 U+0073 U+0075 U+0069,True,False,speech-end-visual-break speech-presentation-visual-break,48,P,1,3.8125,1.0,FAIL,"rie et répare avec Moi. » Poursuivant dans leurs cruautés, tes ennemis Te font as",43ee151361e8da9e3f111010c2d6a7593c9f8fd186d831a4d9d4d40c455c2d58
RB0104,PASSION24.HOUR.17.P044,Main Hour meditation text,H17_meditation,speech_break,intra,293, ,U+0020,U+0020 U+004D U+006F U+006E U+0020 U+0041 U+006D U+006F,True,False,speech-end-visual-break speech-presentation-visual-break,294,M,1,3.8125,1.0,FAIL," contempler mes Peines. » Mon Amour, je vois que, Te voyant si mal en point, Pila",869646265b0de1edb6f2d546b46cb2d40350174de196dbf8071d9a1d625e2fc8
RB0105,PASSION24.HOUR.18.P002,Main Hour meditation text,H18_meditation,speech_break,intra,61, ,U+0020,U+0020 U+0043 U+0068 U+0061 U+0071 U+0075 U+0065 U+0020,True,False,speech-end-visual-break speech-presentation-visual-break,62,C,1,3.8125,1.0,FAIL,ntends dire : « Croix ! » Chaque goutte de ton Sang proclame : « Croix ! »,fa98377ab931e85708e829ea8ef54486dcbd089e3b78c1e5b3d50e2a5473b03b
RB0107,PASSION24.HOUR.18.P031,Main Hour meditation text,H18_meditation,speech_break,intra,156, ,U+0020,U+0020 U+0041 U+006E U+0078 U+0069 U+0065 U+0075 U+0078,True,False,speech-end-visual-break speech-presentation-visual-break,157,A,1,3.8125,1.0,FAIL,"Moi. Je te les confie ! » Anxieux, Tu Te la fais placer sur tes Épaules infinimen",cab11dcd32a14a026be338b346679636e6f34ba5753e7927f0938690916b343f
RB0113,PASSION24.HOUR.18.P113,Main Hour meditation text,H18_meditation,speech_break,intra,148, ,U+0020,U+0020 U+004D U+006F U+006E U+0020 U+0042 U+0069 U+0065,True,False,speech-end-visual-break speech-presentation-visual-break,149,M,1,3.8125,1.0,FAIL,"Éternel le veut ainsi ! » Mon Bien dénudé, tandis qu’avec Toi je répare, je Te pr",cb4b37cbd6dedf7076f2bf3d846746085161caa027dc233a6577133b8fdae357
RB0117,PASSION24.HOUR.19.P018,Main Hour meditation text,H19_meditation,speech_break,intra,95, ,U+0020,U+0020 U+004D U+0061 U+0069 U+0073 U+002C U+0020 U+0071,True,False,speech-end-visual-break speech-presentation-visual-break,96,M,1,3.8125,1.0,FAIL,"ouronnes à mes enfants. » Mais, qui peut dire tout ce que mon doux Jésus a dit su",52eb8baa16a1bc6b09855b603038e76a0c8f5e64939e8e0427cb0944cc5ee541
