route_type,route_id,surface,renderer_family,record_id,source_offset,source_char,source_codepoint,display,action,dom_class,first_visible_exists,first_visible_offset,first_visible_char,first_visible_width
hour,1,meditationContent,speech_presentation_break,PASSION24.HOUR.01.P008,110, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,111,C,
hour,1,meditationContent,speech_presentation_break,PASSION24.HOUR.01.P014,119, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,120,Ô,
hour,10,meditationContent,speech_presentation_break,PASSION24.HOUR.10.P002,206, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,207,À,
hour,10,reflectionsContent,display_segment,PASSION24.HOUR.10.REF.P005,136,J,U+004A,block,,para-seg,False,,,
hour,10,reflectionsContent,display_segment,PASSION24.HOUR.10.REF.P005,165,E,U+0045,block,,para-seg,False,,,
hour,10,reflectionsContent,display_segment,PASSION24.HOUR.10.REF.P005,539,C,U+0043,block,,para-seg,False,,,
hour,10,reflectionsContent,display_segment,PASSION24.HOUR.10.REF.P005,739,M,U+004D,block,,para-seg,False,,,
hour,11,meditationContent,speech_presentation_break,PASSION24.HOUR.11.P010,141, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,142,M,
hour,11,meditationContent,display_segment,PASSION24.HOUR.11.P014,356,M,U+004D,block,,para-seg,False,,,
hour,11,meditationContent,speech_presentation_break,PASSION24.HOUR.11.P021,251, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,252,M,
hour,11,meditationContent,speech_presentation_break,PASSION24.HOUR.11.P030,126,À,U+00C0,block,,speech-end-visual-break speech-presentation-visual-break,True,126,À,
hour,11,meditationContent,display_segment,PASSION24.HOUR.11.P036,193,M,U+004D,block,,para-seg,False,,,
hour,11,meditationContent,display_segment,PASSION24.HOUR.11.P036,438,M,U+004D,block,,para-seg,False,,,
hour,12,meditationContent,display_segment,PASSION24.HOUR.12.P006,188,I,U+0049,block,,para-seg,False,,,
hour,12,meditationContent,display_segment,PASSION24.HOUR.12.P007,99,J,U+004A,block,,para-seg,False,,,
hour,12,meditationContent,display_segment,PASSION24.HOUR.12.P007,337,J,U+004A,block,,para-seg,False,,,
hour,12,meditationContent,display_segment,PASSION24.HOUR.12.P007,642,M,U+004D,block,,para-seg,False,,,
hour,12,reflectionsContent,display_segment,PASSION24.HOUR.12.REF.P005,151,S,U+0053,block,,para-seg,False,,,
hour,12,reflectionsContent,display_segment,PASSION24.HOUR.12.REF.P005,249,M,U+004D,block,,para-seg,False,,,
hour,12,reflectionsContent,display_segment,PASSION24.HOUR.12.REF.P005,390,S,U+0053,block,,para-seg,False,,,
hour,13,meditationContent,display_segment,PASSION24.HOUR.13.P005,148,M,U+004D,block,,para-seg,False,,,
hour,13,reflectionsContent,display_segment,PASSION24.HOUR.13.REF.P001,88,I,U+0049,block,,para-seg,False,,,
hour,13,reflectionsContent,display_segment,PASSION24.HOUR.13.REF.P001,327,P,U+0050,block,,para-seg,False,,,
hour,14,meditationContent,display_segment,PASSION24.HOUR.14.P008,289,D,U+0044,block,,para-seg,False,,,
hour,14,meditationContent,display_segment,PASSION24.HOUR.14.P008,716,Ô,U+00D4,block,,para-seg,False,,,
hour,14,reflectionsContent,display_segment,PASSION24.HOUR.14.REF.P002,239,T,U+0054,block,,para-seg,False,,,
hour,14,reflectionsContent,display_segment,PASSION24.HOUR.14.REF.P002,294,S,U+0053,block,,para-seg,False,,,
hour,14,reflectionsContent,display_segment,PASSION24.HOUR.14.REF.P002,566,C,U+0043,block,,para-seg,False,,,
hour,14,reflectionsContent,display_segment,PASSION24.HOUR.14.REF.P002,684,N,U+004E,block,,para-seg,False,,,
hour,15,meditationContent,speech_presentation_break,PASSION24.HOUR.15.P005,162, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,163,P,
hour,15,reflectionsContent,display_segment,PASSION24.HOUR.15.REF.P006,223,E,U+0045,block,,para-seg,False,,,
hour,15,reflectionsContent,display_segment,PASSION24.HOUR.15.REF.P006,403,À,U+00C0,block,,para-seg,False,,,
hour,15,reflectionsContent,display_segment,PASSION24.HOUR.15.REF.P007,46,D,U+0044,block,,para-seg,False,,,
hour,15,reflectionsContent,display_segment,PASSION24.HOUR.15.REF.P007,184,E,U+0045,block,,para-seg,False,,,
hour,15,reflectionsContent,display_segment,PASSION24.HOUR.15.REF.P007,333,M,U+004D,block,,para-seg,False,,,
hour,16,meditationContent,speech_presentation_break,PASSION24.HOUR.16.P015,103, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,104,C,
hour,16,meditationContent,speech_presentation_break,PASSION24.HOUR.16.P028,76, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,77,J,
hour,16,meditationContent,speech_presentation_break,PASSION24.HOUR.16.P045,193, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,194,J,
hour,16,meditationContent,display_segment,PASSION24.HOUR.16.P046,246,T,U+0054,block,,para-seg,False,,,
hour,17,meditationContent,speech_presentation_break,PASSION24.HOUR.17.P014,47, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,48,P,
hour,17,meditationContent,speech_presentation_break,PASSION24.HOUR.17.P027,155,M,U+004D,block,,speech-end-visual-break speech-presentation-visual-break,True,155,M,
hour,17,meditationContent,speech_presentation_break,PASSION24.HOUR.17.P044,293, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,294,M,
hour,18,meditationContent,speech_presentation_break,PASSION24.HOUR.18.P002,61, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,62,C,
hour,18,meditationContent,display_segment,PASSION24.HOUR.18.P008,342,T,U+0054,block,,para-seg,False,,,
hour,18,meditationContent,speech_presentation_break,PASSION24.HOUR.18.P031,156, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,157,A,
hour,18,meditationContent,display_segment,PASSION24.HOUR.18.P077,293,M,U+004D,block,,para-seg,False,,,
hour,18,meditationContent,display_segment,PASSION24.HOUR.18.P093,196,Ô,U+00D4,block,,para-seg,False,,,
hour,18,meditationContent,display_segment,PASSION24.HOUR.18.P110,237,M,U+004D,block,,para-seg,False,,,
hour,18,meditationContent,display_segment,PASSION24.HOUR.18.P110,635,M,U+004D,block,,para-seg,False,,,
hour,18,meditationContent,display_segment,PASSION24.HOUR.18.P111,117,C,U+0043,block,,para-seg,False,,,
hour,18,meditationContent,speech_presentation_break,PASSION24.HOUR.18.P113,148, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,149,M,
hour,18,reflectionsContent,display_segment,PASSION24.HOUR.18.REF.P002,166,Q,U+0051,block,,para-seg,False,,,
hour,18,reflectionsContent,display_segment,PASSION24.HOUR.18.REF.P002,431,Q,U+0051,block,,para-seg,False,,,
hour,19,meditationContent,display_segment,PASSION24.HOUR.19.P010,235,E,U+0045,block,,para-seg,False,,,
hour,19,meditationContent,speech_presentation_break,PASSION24.HOUR.19.P018,95, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,96,M,
hour,19,meditationContent,display_segment,PASSION24.HOUR.19.P097,268,M,U+004D,block,,para-seg,False,,,
hour,19,meditationContent,display_segment,PASSION24.HOUR.19.P097,531,E,U+0045,block,,para-seg,False,,,
hour,19,meditationContent,speech_presentation_break,PASSION24.HOUR.19.P126,145, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,146,M,
hour,19,meditationContent,speech_presentation_break,PASSION24.HOUR.19.P137,119, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,120,M,
hour,19,meditationContent,display_segment,PASSION24.HOUR.19.P153,192,O,U+004F,block,,para-seg,False,,,
hour,19,meditationContent,display_segment,PASSION24.HOUR.19.P153,253,L,U+004C,block,,para-seg,False,,,
hour,19,meditationContent,speech_presentation_break,PASSION24.HOUR.19.P165,150, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,151,M,
hour,19,meditationContent,display_segment,PASSION24.HOUR.19.P187,225,T,U+0054,block,,para-seg,False,,,
hour,19,meditationContent,display_segment,PASSION24.HOUR.19.P201,124,Q,U+0051,block,,para-seg,False,,,
hour,19,reflectionsContent,display_segment,PASSION24.HOUR.19.REF.P002,169,T,U+0054,block,,para-seg,False,,,
hour,19,reflectionsContent,display_segment,PASSION24.HOUR.19.REF.P006,214,(,U+0028,block,,para-seg,False,,,
hour,19,reflectionsContent,display_segment,PASSION24.HOUR.19.REF.P007,238,E,U+0045,block,,para-seg,False,,,
hour,19,reflectionsContent,display_segment,PASSION24.HOUR.19.REF.P007,368,I,U+0049,block,,para-seg,False,,,
hour,19,reflectionsContent,display_segment,PASSION24.HOUR.19.REF.P007,439,E,U+0045,block,,para-seg,False,,,
hour,2,meditationContent,display_segment,PASSION24.HOUR.02.P011,367,M,U+004D,block,,para-seg,False,,,
hour,2,meditationContent,speech_presentation_break,PASSION24.HOUR.02.P014,203, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,204,À,
hour,2,meditationContent,speech_presentation_break,PASSION24.HOUR.02.P015,147, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,148,D,
hour,2,reflectionsContent,display_segment,PASSION24.HOUR.02.REF.P010,239,M,U+004D,block,,para-seg,False,,,
hour,2,reflectionsContent,display_segment,PASSION24.HOUR.02.REF.P010,754,Q,U+0051,block,,para-seg,False,,,
hour,2,reflectionsContent,display_segment,PASSION24.HOUR.02.REF.P010,1102,M,U+004D,block,,para-seg,False,,,
hour,20,meditationContent,speech_presentation_break,PASSION24.HOUR.20.P010,63, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,64,E,
hour,20,meditationContent,display_segment,PASSION24.HOUR.20.P035,94,J,U+004A,block,,para-seg,False,,,
hour,20,meditationContent,display_segment,PASSION24.HOUR.20.P035,252,J,U+004A,block,,para-seg,False,,,
hour,20,meditationContent,display_segment,PASSION24.HOUR.20.P035,492,J,U+004A,block,,para-seg,False,,,
hour,21,meditationContent,speech_presentation_break,PASSION24.HOUR.21.P023,137, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,138,L,
hour,21,meditationContent,speech_presentation_break,PASSION24.HOUR.21.P027,216, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,217,E,
hour,21,meditationContent,display_segment,PASSION24.HOUR.21.P027,245,J,U+004A,block,,para-seg,False,,,
hour,21,meditationContent,speech_presentation_break,PASSION24.HOUR.21.P068,86, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,87,M,
hour,21,reflectionsContent,display_segment,PASSION24.HOUR.21.REF.P005,208,C,U+0043,block,,para-seg,False,,,
hour,21,reflectionsContent,display_segment,PASSION24.HOUR.21.REF.P005,339,D,U+0044,block,,para-seg,False,,,
hour,21,reflectionsContent,display_segment,PASSION24.HOUR.21.REF.P005,517,P,U+0050,block,,para-seg,False,,,
hour,22,meditationContent,speech_presentation_break,PASSION24.HOUR.22.P006,160, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,161,A,
hour,22,meditationContent,speech_presentation_break,PASSION24.HOUR.22.P022,23, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,24,Ô,
hour,22,meditationContent,display_segment,PASSION24.HOUR.22.P048,50,J,U+004A,block,,para-seg,False,,,
hour,22,meditationContent,display_segment,PASSION24.HOUR.22.P050,170,J,U+004A,block,,para-seg,False,,,
hour,22,meditationContent,display_segment,PASSION24.HOUR.22.P052,187,J,U+004A,block,,para-seg,False,,,
hour,22,meditationContent,display_segment,PASSION24.HOUR.22.P054,212,J,U+004A,block,,para-seg,False,,,
hour,22,meditationContent,display_segment,PASSION24.HOUR.22.P056,187,J,U+004A,block,,para-seg,False,,,
hour,22,meditationContent,display_segment,PASSION24.HOUR.22.P059,50,J,U+004A,block,,para-seg,False,,,
hour,22,meditationContent,display_segment,PASSION24.HOUR.22.P061,211,J,U+004A,block,,para-seg,False,,,
hour,22,meditationContent,display_segment,PASSION24.HOUR.22.P063,156,J,U+004A,block,,para-seg,False,,,
hour,22,meditationContent,display_segment,PASSION24.HOUR.22.P065,177,J,U+004A,block,,para-seg,False,,,
hour,22,reflectionsContent,display_segment,PASSION24.HOUR.22.REF.P001,149,J,U+004A,block,,para-seg,False,,,
hour,22,reflectionsContent,display_segment,PASSION24.HOUR.22.REF.P001,238,J,U+004A,block,,para-seg,False,,,
hour,22,reflectionsContent,display_segment,PASSION24.HOUR.22.REF.P001,583,J,U+004A,block,,para-seg,False,,,
hour,22,reflectionsContent,display_segment,PASSION24.HOUR.22.REF.P001,723,S,U+0053,block,,para-seg,False,,,
hour,23,meditationContent,display_segment,PASSION24.HOUR.23.P007,369,M,U+004D,block,,para-seg,False,,,
hour,23,meditationContent,display_segment,PASSION24.HOUR.23.P026,282,M,U+004D,block,,para-seg,False,,,
hour,24,meditationContent,speech_presentation_break,PASSION24.HOUR.24.DESOL.P014,119, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,120,M,
hour,24,meditationContent,speech_presentation_break,PASSION24.HOUR.24.DESOL.P027,79, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,80,T,
hour,24,meditationContent,speech_presentation_break,PASSION24.HOUR.24.DESOL.P037,62, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,63,M,
hour,24,meditationContent,display_segment,PASSION24.HOUR.24.P012,119,Ô,U+00D4,block,,para-seg,False,,,
hour,24,meditationContent,display_segment,PASSION24.HOUR.24.P012,400,Ô,U+00D4,block,,para-seg,False,,,
hour,24,reflectionsContent,display_segment,PASSION24.HOUR.24.REF.P003,406,E,U+0045,block,,para-seg,False,,,
hour,24,reflectionsContent,display_segment,PASSION24.HOUR.24.REF.P004,239,J,U+004A,block,,para-seg,False,,,
hour,24,reflectionsContent,display_segment,PASSION24.HOUR.24.REF.P004,485,J,U+004A,block,,para-seg,False,,,
hour,3,meditationContent,display_segment,PASSION24.HOUR.03.P001,279,J,U+004A,block,,para-seg,False,,,
hour,3,meditationContent,display_segment,PASSION24.HOUR.03.P005,303,E,U+0045,block,,para-seg,False,,,
hour,3,meditationContent,display_segment,PASSION24.HOUR.03.P012,288,Ô,U+00D4,block,,para-seg,False,,,
hour,3,reflectionsContent,display_segment,PASSION24.HOUR.03.REF.P005,150,L,U+004C,block,,para-seg,False,,,
hour,3,reflectionsContent,display_segment,PASSION24.HOUR.03.REF.P005,453,Q,U+0051,block,,para-seg,False,,,
hour,3,reflectionsContent,display_segment,PASSION24.HOUR.03.REF.P014,83,J,U+004A,block,,para-seg,False,,,
hour,3,reflectionsContent,display_segment,PASSION24.HOUR.03.REF.P014,165,D,U+0044,block,,para-seg,False,,,
hour,3,reflectionsContent,display_segment,PASSION24.HOUR.03.REF.P014,417,Q,U+0051,block,,para-seg,False,,,
hour,3,reflectionsContent,display_segment,PASSION24.HOUR.03.REF.P014,661,P,U+0050,block,,para-seg,False,,,
hour,3,reflectionsContent,display_segment,PASSION24.HOUR.03.REF.P014,857,M,U+004D,block,,para-seg,False,,,
hour,3,reflectionsContent,display_segment,PASSION24.HOUR.03.REF.P014,1004,L,U+004C,block,,para-seg,False,,,
hour,3,reflectionsContent,display_segment,PASSION24.HOUR.03.REF.P018,195,J,U+004A,block,,para-seg,False,,,
hour,4,meditationContent,display_segment,PASSION24.HOUR.04.P003,149,Ô,U+00D4,block,,para-seg,False,,,
hour,4,meditationContent,display_segment,PASSION24.HOUR.04.P016,161,E,U+0045,block,,para-seg,False,,,
hour,4,meditationContent,display_segment,PASSION24.HOUR.04.P022,117,Ô,U+00D4,block,,para-seg,False,,,
hour,4,meditationContent,speech_presentation_break,PASSION24.HOUR.04.P034,113, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,114,L,
hour,4,meditationContent,display_segment,PASSION24.HOUR.04.P050,204,J,U+004A,block,,para-seg,False,,,
hour,4,meditationContent,speech_presentation_break,PASSION24.HOUR.04.P065,93, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,94,C,
hour,4,reflectionsContent,display_segment,PASSION24.HOUR.04.REF.P014,169,P,U+0050,block,,para-seg,False,,,
hour,4,reflectionsContent,display_segment,PASSION24.HOUR.04.REF.P014,382,I,U+0049,block,,para-seg,False,,,
hour,4,reflectionsContent,display_segment,PASSION24.HOUR.04.REF.P026,115,Ô,U+00D4,block,,para-seg,False,,,
hour,4,reflectionsContent,display_segment,PASSION24.HOUR.04.REF.P026,322,J,U+004A,block,,para-seg,False,,,
hour,4,reflectionsContent,display_segment,PASSION24.HOUR.04.REF.P026,581,Ô,U+00D4,block,,para-seg,False,,,
hour,5,meditationContent,display_segment,PASSION24.HOUR.05.P028,269,M,U+004D,block,,para-seg,False,,,
hour,5,meditationContent,display_segment,PASSION24.HOUR.05.P028,426,A,U+0041,block,,para-seg,False,,,
hour,5,meditationContent,display_segment,PASSION24.HOUR.05.P028,484,M,U+004D,block,,para-seg,False,,,
hour,5,reflectionsContent,speech_presentation_break,PASSION24.HOUR.05.REF.P005,142, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,143,P,
hour,6,meditationContent,display_segment,PASSION24.HOUR.06.P003,228,E,U+0045,block,,para-seg,False,,,
hour,6,meditationContent,display_segment,PASSION24.HOUR.06.P007,212,J,U+004A,block,,para-seg,False,,,
hour,6,meditationContent,speech_presentation_break,PASSION24.HOUR.06.P012,106, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,107,C,
hour,6,meditationContent,display_segment,PASSION24.HOUR.06.P012,217,T,U+0054,block,,para-seg,False,,,
hour,6,meditationContent,display_segment,PASSION24.HOUR.06.P020,281,M,U+004D,block,,para-seg,False,,,
hour,6,meditationContent,display_segment,PASSION24.HOUR.06.P043,153,E,U+0045,block,,para-seg,False,,,
hour,6,meditationContent,display_segment,PASSION24.HOUR.06.P043,307,J,U+004A,block,,para-seg,False,,,
hour,6,meditationContent,display_segment,PASSION24.HOUR.06.P043,518,P,U+0050,block,,para-seg,False,,,
hour,6,reflectionsContent,display_segment,PASSION24.HOUR.06.REF.P005,427,M,U+004D,block,,para-seg,False,,,
hour,7,meditationContent,speech_presentation_break,PASSION24.HOUR.07.P007,165, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,166,J,
hour,7,meditationContent,speech_presentation_break,PASSION24.HOUR.07.P015,147, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,148,P,
hour,7,meditationContent,speech_presentation_break,PASSION24.HOUR.07.P030,22, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,23,J,
hour,7,meditationContent,display_segment,PASSION24.HOUR.07.P117,229,Ô,U+00D4,block,,para-seg,False,,,
hour,7,meditationContent,speech_presentation_break,PASSION24.HOUR.07.P125,128, ,U+0020,block,,speech-end-visual-break speech-presentation-visual-break,True,129,M,
hour,7,reflectionsContent,display_segment,PASSION24.HOUR.07.REF.P003,306,J,U+004A,block,,para-seg,False,,,
