route_type,route_id,surface,renderer_family,record_id,source_offset,source_char,source_codepoint,display,action,dom_class,first_visible_exists,first_visible_offset,first_visible_char,first_visible_width,exclusion_reason
hour,13,meditationContent,display_segment,PASSION24.HOUR.13.P011,310,M,U+004D,inline,,para-seg,False,,,,NON_BLOCK_MARKER
hour,3,meditationContent,display_segment,PASSION24.HOUR.03.P012,593,Ô,U+00D4,inline,,para-seg,False,,,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P144,54,r,U+0072,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,54,r,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P145,21,s,U+0073,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,21,s,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P149,324,i,U+0069,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,324,i,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P149,359,i,U+0069,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,359,i,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P157,64,d,U+0064,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,64,d,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P157,93,a,U+0061,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,93,a,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P166,83,M,U+004D,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,83,M,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P180,133,p,U+0070,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,133,p,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P181,99,à,U+00E0,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,99,à,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_DIVINE_PASSION,library,ldc_intra_break,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P181,179,l,U+006C,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,179,l,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_MARY_SORROWS,library,ldc_intra_break,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P036,34,f,U+0066,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,34,f,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_MARY_SORROWS,library,ldc_intra_break,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P036,74,e,U+0065,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,74,e,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PART_III_MARY_SORROWS,library,ldc_intra_break,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P036,181,c,U+0063,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,181,c,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PROMISES_BENEFITS,library,ldc_intra_break,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,323,m,U+006D,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,323,m,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PROMISES_BENEFITS,library,ldc_intra_break,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P176,58,u,U+0075,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,58,u,,NON_BLOCK_MARKER
library,PASSION24.TEXT.PROMISES_BENEFITS,library,ldc_intra_break,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P176,142,u,U+0075,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,142,u,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_03,library,ldc_cross_record,,,,,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,False,,,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_03,library,ldc_cross_record,,,,,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,False,,,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_03,library,ldc_cross_record,,,,,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,False,,,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_03,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_03.BODY.P006,83,n,U+006E,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,83,n,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_03,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_03.BODY.P006,103,m,U+006D,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,103,m,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_04,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_04.BODY.P097,777,d,U+0064,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,777,d,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_04,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_04.BODY.P104,27,l,U+006C,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,27,l,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_04,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_04.BODY.P106,27,e,U+0065,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,27,e,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_04,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_04.BODY.P127,428,p,U+0070,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,428,p,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_04,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_04.BODY.P128,40,n,U+006E,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,40,n,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_04,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_04.BODY.P155,103,l,U+006C,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,103,l,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_04,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_04.BODY.P156,144,l,U+006C,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,144,l,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_05,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_05.BODY.P019,200,l,U+006C,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,200,l,,NON_BLOCK_MARKER
library,PASSION24.TEXT.RELATED_HOUR_06,library,ldc_intra_break,PASSION24.TEXT.RELATED_HOUR_06.BODY.P013,348,u,U+0075,inline,preserve_break,ldc-visual-paragraph-break ldc-ra18-boundary ldc-ra18-preserve_break,True,348,u,,NON_BLOCK_MARKER
