record_id,source_offset,measurements,pass_measurements,fail_measurements,max_abs_dx_px,max_space_width_px,profiles,font_sizes,status
PASSION24.HOUR.01.P008,110,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.01.P014,119,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.02.P014,203,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.02.P015,147,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.04.P034,113,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.04.P065,93,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.05.REF.P005,142,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.06.P012,106,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.07.P007,165,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.07.P015,147,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.07.P030,22,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.07.P125,128,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.08.P007,111,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.08.P008,42,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.08.P009,93,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.08.P009,210,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.08.P014,34,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.09.P010,147,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.10.P002,206,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.11.P010,141,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.11.P021,251,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.15.P005,162,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.16.P015,103,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.16.P028,76,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.16.P045,193,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.17.P014,47,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.17.P044,293,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.18.P002,61,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.18.P031,156,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.18.P113,148,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.19.P018,95,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.19.P126,145,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.19.P137,119,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.19.P165,150,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.20.P010,63,25,25,0,0.0,0.0,5,5,PASS
PASSION24.HOUR.21.P023,137,25,25,0,0.0,0.0,5,5,PASS
