declaration,baseline_sha256,current_sha256,status,detail
CORPUS,1dfd24bcd5cb353e14afb31348fef350c8fb56c14e407489eae8709c958380a5,1dfd24bcd5cb353e14afb31348fef350c8fb56c14e407489eae8709c958380a5,PASS,byte-identical expression
TEXT_LIBRARY,09329a9751035ab32b3fbde518ab78163425316ba156a04b69e187ab58fa85e5,09329a9751035ab32b3fbde518ab78163425316ba156a04b69e187ab58fa85e5,PASS,byte-identical expression
HOUR_LINKED_TEXTS,abffddceeaf11cd74f043bea1d97568f2bd1ba28fb1fbc541610d282039c0095,abffddceeaf11cd74f043bea1d97568f2bd1ba28fb1fbc541610d282039c0095,PASS,byte-identical expression
INTERNAL_SUBHEADINGS,2cdc80893e8afad04d8990d3f7cbd240367fbbac51a360a1d12dcf46636708ae,2cdc80893e8afad04d8990d3f7cbd240367fbbac51a360a1d12dcf46636708ae,PASS,byte-identical expression
DISPLAY_SEGMENTS,141be59c6a94231ffea999c3706e70580e894ba9eb3ec60912e8b1fe5614b222,141be59c6a94231ffea999c3706e70580e894ba9eb3ec60912e8b1fe5614b222,PASS,byte-identical expression
CONTINUITY_GROUPS,3d1cb5f01010bf9b38f86a16cf6b9bb7e4be128b6fe21eca2894c23dbababc2d,1ab140d3c155fa2dde654af4c1095678b6c8d02acb0351e8e9441fe7652aa702,AUTHORIZED_DELTA,add exactly PASSION24.HOUR.15.P014 → PASSION24.HOUR.15.P015; retain four baseline groups
LDC_LIBRARY_FLOW_LAYOUT,7d10dd43644daef8104fc591b08c43f351e592601a756bcf3c433588f9c728d2,7d10dd43644daef8104fc591b08c43f351e592601a756bcf3c433588f9c728d2,PASS,byte-identical expression
SPEECH_END_VISUAL_BREAKS,06a1c250f4f9020d236bfcbeb412580f000380d49dc1348a7bdb5a2a244aa263,06a1c250f4f9020d236bfcbeb412580f000380d49dc1348a7bdb5a2a244aa263,PASS,byte-identical expression
SPEECH_CROSS_RECORD_VISUAL_BREAKS,bcf0c384462ba8c28d5b12c79cdd1ce8adb9e211809011ffbbb2888779022a48,bcf0c384462ba8c28d5b12c79cdd1ce8adb9e211809011ffbbb2888779022a48,PASS,byte-identical expression
SPEECH_DATA,388b52f0f140f4c3b4c8f91fd3b296550ad7bd58238810165738047e20528162,388b52f0f140f4c3b4c8f91fd3b296550ad7bd58238810165738047e20528162,PASS,byte-identical expression
VISIBLE_PARAGRAPH_TOPOLOGY,89d64b9e30edaed0589d2c3133bca116bda6cee2184e16078df9c676ef6a2e2f,89d64b9e30edaed0589d2c3133bca116bda6cee2184e16078df9c676ef6a2e2f,PASS,byte-identical expression
SPEECH_CROSS_RECORD_OPENING_WRAPPER_SUPPRESSIONS,c6cb3689dca85cc9fe29e03835e6153a4992c2ac3f47e28e33539f47fcfce68e,c6cb3689dca85cc9fe29e03835e6153a4992c2ac3f47e28e33539f47fcfce68e,PASS,byte-identical expression
SPEECH_PRESENTATION_PROJECTION,f631ad843e3f82bbdd7f467366834a164e291e936853557fcbef6baacc473e1b,f631ad843e3f82bbdd7f467366834a164e291e936853557fcbef6baacc473e1b,PASS,byte-identical expression
SPEECH_PRESENTATION_ADJUDICATIONS,889410835c99cbb54964c300d59a095dc169d3384c34386280bbdab8fe529d68,889410835c99cbb54964c300d59a095dc169d3384c34386280bbdab8fe529d68,PASS,byte-identical expression
