case,status,detail
S01,PASS,"{""actions"":[[""Réflexion et pratique"",true],[""Approfondir"",true],[""Revenir au début"",true],[""Prier la 24e Heure"",true]],""progress"":false,""review"":false}"
S02,PASS,"{""panel"":""VOTRE PARCOURS\n0/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"",""restart"":false}"
S03,PASS,"{""panel"":""VOTRE PARCOURS\n22/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"",""restart"":false}"
S04,PASS,"{""before"":""VOTRE PARCOURS\n23/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"",""after"":""LE CYCLE DES 24 HEURES EST ACCOMPLI\n24/24 Heures marquées comme méditées.\n↻ Recommencer depuis la 1re Heure\nVoir ma progression\nRevoir les Heures méditées"",""count"":24,""has24"":true}"
S05,PASS,"{""before"":""LE CYCLE DES 24 HEURES EST ACCOMPLI\n24/24 Heures marquées comme méditées.\n↻ Recommencer depuis la 1re Heure\nVoir ma progression\nRevoir les Heures méditées"",""after"":""VOTRE PARCOURS\n23/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"",""count"":23,""has24"":false}"
S06,PASS,"{""panel"":""VOTRE PARCOURS\n23/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"",""count"":23,""has24"":true,""complete"":false}"
S07,PASS,"{""ret"":false,""same"":true,""count"":24,""lastHour"":24,""view"":""home""}"
S08,PASS,"{""ret"":true,""count"":0,""lastParas"":0,""hourTabs"":0,""log"":0,""currentHour"":1,""lastHour"":1,""view"":""reader"",""protectedSame"":true}"
S09,PASS,"{""ret"":false,""same"":true,""count"":23}"
S10,PASS,"{""tab"":""reflections"",""display"":""block"",""hash"":""""}"
S11,PASS,"{""tab"":""linked"",""display"":""block""}"
S12,PASS,"{""hour"":24,""view"":""reader"",""scroll"":0}"
S13,PASS,"{""home"":true,""view"":""home""}"
S14,PASS,"{""home"":true,""view"":""home""}"
S15,PASS,"{""raw"":true,""has6"":true,""count"":1,""log"":true}"
S16,PASS,"{""ret"":true,""raw"":true,""snapRead"":[],""snapLast"":""1"",""loadedCount"":0,""loadedLast"":1}"
