declaration,baseline_sha256,current_sha256,status,detail
CORPUS,630ce4d98e80d3649a4c96340e05d556f17249a5ac55dea8789966f8d24d67b3,630ce4d98e80d3649a4c96340e05d556f17249a5ac55dea8789966f8d24d67b3,PASS,byte-identical expression
TEXT_LIBRARY,27721abc524d1d4ff652f6c0c9919d7c24b5fda21a75bcd11c01f651b8c913e8,27721abc524d1d4ff652f6c0c9919d7c24b5fda21a75bcd11c01f651b8c913e8,PASS,byte-identical expression
HOUR_LINKED_TEXTS,1a75b674a677d0a91ac643abbeea3c22d9773599a33ff3c9c6a30bd9f51aa0d2,1a75b674a677d0a91ac643abbeea3c22d9773599a33ff3c9c6a30bd9f51aa0d2,PASS,byte-identical expression
INTERNAL_SUBHEADINGS,cabf1d5d2b13c60f91198e1cee0629bec0d2e00b915afc8db7e2d3be02586782,cabf1d5d2b13c60f91198e1cee0629bec0d2e00b915afc8db7e2d3be02586782,PASS,byte-identical expression
DISPLAY_SEGMENTS,4b548f9729cb39d9bb200660270e280c4a72ac24ef5c13904e4dd4cfa8366d24,4b548f9729cb39d9bb200660270e280c4a72ac24ef5c13904e4dd4cfa8366d24,PASS,byte-identical expression
CONTINUITY_GROUPS,de95740b95c88c8a995d47356dbf60a7db035657503b14efb58f622971a93e09,de95740b95c88c8a995d47356dbf60a7db035657503b14efb58f622971a93e09,PASS,byte-identical expression
LDC_LIBRARY_FLOW_LAYOUT,84c6f7da244a8fee258733763a401c129aacd5c2960418597e1007317adab2b4,84c6f7da244a8fee258733763a401c129aacd5c2960418597e1007317adab2b4,PASS,byte-identical expression
SPEECH_END_VISUAL_BREAKS,d20b979b1a8529e9dcddf8973688e8db90a5228e874edce17e2a432b68a92809,d20b979b1a8529e9dcddf8973688e8db90a5228e874edce17e2a432b68a92809,PASS,byte-identical expression
SPEECH_CROSS_RECORD_VISUAL_BREAKS,6017d1170165935c86fc12a2728b5c08869009d7d9d86fba5b4b48cd92e22a00,6017d1170165935c86fc12a2728b5c08869009d7d9d86fba5b4b48cd92e22a00,PASS,byte-identical expression
SPEECH_DATA,dbac002c67051d11fbbbee589fdabf947ba98fac7f9e262f9b0269b6b29b0a12,dbac002c67051d11fbbbee589fdabf947ba98fac7f9e262f9b0269b6b29b0a12,PASS,byte-identical expression
VISIBLE_PARAGRAPH_TOPOLOGY,e4eb1434ffe0e3891a15d4ceb5127d1f916721a53557b47dedcf674876c43603,e4eb1434ffe0e3891a15d4ceb5127d1f916721a53557b47dedcf674876c43603,PASS,byte-identical expression
SPEECH_CROSS_RECORD_OPENING_WRAPPER_SUPPRESSIONS,a4b68b83dfb91beed798ceb12a82110c20488d7fda9a4d037b4345dcc2bac96b,a4b68b83dfb91beed798ceb12a82110c20488d7fda9a4d037b4345dcc2bac96b,PASS,byte-identical expression
SPEECH_PRESENTATION_PROJECTION,1c117ed369c8af35f25491d295c5b9b0f7f8e77e3483687ec0a3d86542e25112,1c117ed369c8af35f25491d295c5b9b0f7f8e77e3483687ec0a3d86542e25112,PASS,byte-identical expression
SPEECH_PRESENTATION_ADJUDICATIONS,407ae8c46f1fa4f2017ad2d6c643875359a20241a0212e97c54b3e4140e11ad2,407ae8c46f1fa4f2017ad2d6c643875359a20241a0212e97c54b3e4140e11ad2,PASS,byte-identical expression
