path,token_or_rule,classification
README.md,v101.117,BASELINE_PROVENANCE_ALLOWED
README.md,v101.116,BASELINE_PROVENANCE_ALLOWED
README.md,v101.111,BASELINE_PROVENANCE_ALLOWED
evidence/m1_1/M1_FINAL_REPORT.md,v101.111,HISTORICAL_EVIDENCE_ALLOWED
evidence/m2/M2_FINAL_DECISION_LOCK.json,v101.111,HISTORICAL_EVIDENCE_ALLOWED
evidence/m2/M2_FINAL_REPORT.md,v101.111,HISTORICAL_EVIDENCE_ALLOWED
evidence/m3/M3_CHROMIUM_RUNTIME_MATRIX.json,v101.111,HISTORICAL_EVIDENCE_ALLOWED
evidence/m4_contract/M4_RECONSTRUCTED_G20_G22_CONTRACT.md,v101.111,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101112/PREPACKAGE_STAGE_REPORT.md,v101.112,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101112/PREPACKAGE_STAGE_REPORT.md,v101.111,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101113/AUDIT_REPAIR_LEDGER.csv,v101.113,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101113/AUDIT_REPAIR_LEDGER.csv,v101.112,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101113/AUDIT_REPAIR_LEDGER.csv,v101.111,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101113/PREPACKAGE_STAGE_REPORT.md,v101.113,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101113/PREPACKAGE_STAGE_REPORT.md,v101.112,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101113/PREPACKAGE_STAGE_REPORT.md,v101.111,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101114/BROAD_CHROMIUM_RUNTIME_MATRIX.json,v101.114,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101114/PREPACKAGE_STAGE_REPORT.md,v101.114,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101114/PREPACKAGE_STAGE_REPORT.md,v101.113,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101114/SERVICE_WORKER_LOGIC_MATRIX.json,luisa-24h-v101-114,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101115/BROAD_CHROMIUM_RUNTIME_MATRIX.json,v101.115,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101115/PREPACKAGE_STAGE_REPORT.md,v101.115,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101115/PREPACKAGE_STAGE_REPORT.md,v101.114,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101115/SERVICE_WORKER_LOGIC_MATRIX.json,luisa-24h-v101-115,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101116/BROAD_CHROMIUM_RUNTIME_MATRIX.json,v101.116,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101116/PREPACKAGE_STAGE_REPORT.md,v101.116,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101116/PREPACKAGE_STAGE_REPORT.md,v101.115,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101116/SERVICE_WORKER_LOGIC_MATRIX.json,luisa-24h-v101-116,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101117/AUDIT_REPAIR_LEDGER.csv,v101.117,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101117/AUDIT_REPAIR_LEDGER.csv,v101.116,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101117/BROAD_CHROMIUM_RUNTIME_MATRIX.json,v101.117,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101117/PREPACKAGE_STAGE_REPORT.md,v101.117,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101117/PREPACKAGE_STAGE_REPORT.md,v101.116,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101117/SERVICE_WORKER_LOGIC_MATRIX.json,luisa-24h-v101-117,HISTORICAL_EVIDENCE_ALLOWED
evidence/v101118/PREPACKAGE_STAGE_REPORT.md,v101.117,BASELINE_PROVENANCE_ALLOWED
evidence/v101118/PREPACKAGE_STAGE_REPORT.md,v101.111,BASELINE_PROVENANCE_ALLOWED
metadata/build_provenance.json,v101.117,BASELINE_PROVENANCE_ALLOWED
metadata/scope_escalation_authority.md,v101.117,BASELINE_PROVENANCE_ALLOWED
metadata/scope_escalation_authority.md,v101.111,BASELINE_PROVENANCE_ALLOWED
reports/current_metadata_semantic_consistency.md,v101.117,BASELINE_PROVENANCE_ALLOWED
reports/current_metadata_semantic_consistency.md,v101.111,BASELINE_PROVENANCE_ALLOWED
reports/full_regression_matrix.csv,v101.117,BASELINE_PROVENANCE_ALLOWED
reports/report_claims_vs_evidence_audit.md,v101.111,BASELINE_PROVENANCE_ALLOWED
scripts/EXECUTION_SPEC.md,v101.117,BASELINE_PROVENANCE_ALLOWED
scripts/build_v101111_m2_authorised_mutation.py,v101.111,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101112_user_confirmed_text_structure_repair.py,v101.112,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101112_user_confirmed_text_structure_repair.py,v101.111,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101112_user_confirmed_text_structure_repair.py,luisa-24h-v101-112,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101112_user_confirmed_text_structure_repair.py,luisa-24h-v101-111,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101112_user_confirmed_text_structure_repair.py,L24H_v101112_,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101112_user_confirmed_text_structure_repair.py,L24H_v101111_,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101113_audit_report_qa_integrity_repair.py,v101.113,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101113_audit_report_qa_integrity_repair.py,v101.112,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101113_audit_report_qa_integrity_repair.py,v101.111,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101113_audit_report_qa_integrity_repair.py,luisa-24h-v101-113,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101113_audit_report_qa_integrity_repair.py,luisa-24h-v101-112,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101113_audit_report_qa_integrity_repair.py,luisa-24h-v101-111,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101113_audit_report_qa_integrity_repair.py,L24H_v101113_,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101113_audit_report_qa_integrity_repair.py,L24H_v101112_,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101113_audit_report_qa_integrity_repair.py,L24H_v101111_,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,v101.114,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,v101.113,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,v101.112,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,v101.111,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,luisa-24h-v101-114,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,luisa-24h-v101-113,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,luisa-24h-v101-112,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,luisa-24h-v101-111,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,L24H_v101114_,HISTORICAL_EVIDENCE_ALLOWED
scripts/build_v101114_four_pass_audit_evidence_integrity_repair.py,L24H_v101113_,HISTORICAL_EVIDENCE_ALLOWED
